paper_key,arxiv_id,doi,title,authors,year,venue,citation_count,tier,review_source,corpus,contribution_type,method_name,peft_technique,distribution_mechanism,thesis_sections,contribution_codes,datasets,metrics,key_finding,notes_raw,source
2311.03285,2311.03285,,S-LoRA: Serving Thousands of Concurrent LoRA Adapters,Ying Sheng; Shiyi Cao; Dacheng Li; Coleman Hooper; Nicholas Lee; Shuo Yang; Christopher Chou; Banghua Zhu; Lianmin Zheng; Kurt Keutzer; Joseph E. Gonzalez; Ion Stoica,2024,Conference on Machine Learning and Systems (MLSys 2024),154,1,fulltext,core,adapter-serving,,LoRA,model-parallel,§5.1,★S1,,,"S-LoRA: unified paging, tensor parallelism for 1000s of concurrent adapters","S-LoRA: unified paging, tensor parallelism for 1000s of concurrent adapters. §5.1 ★S1",ARXIV
10.1109/ICWS62655.2024.00099,,10.1109/ICWS62655.2024.00099,Edge-LLM: A Collaborative Framework for Large Language Model Serving in Edge Computing,"Cai F., Yuan D., Yang Z., Cui L.",2024,2024 IEEE International Conference on Web Services (ICWS),44,1,abstract-2nd-pass,core,adapter-serving,,generic-PEFT,edge-collaborative,§5.x; §6.x,,,,Edge-LLM: PEFT-based collaborative LLM serving on edge,§5.x §6.x Edge-LLM: PEFT-based collaborative LLM serving on edge,SCOPUS
2401.11240,2401.11240,10.48550/arXiv.2401.11240,CaraServe: CPU-Assisted and Rank-Aware LoRA Serving for Generative LLM Inference,Suyi Li; Hanfeng Lu; Tianyuan Wu; Minchen Yu; Qizhen Weng; Xusheng Chen; Yizhou Shan; Binhang Yuan; Wei Wang,2024,ArXiv,29,1,fulltext,core,adapter-serving,,LoRA,none,§5.3,,,,CaraServe: CPU-GPU coordinated LoRA loading with rank-aware SLO scheduling,CaraServe: CPU-GPU coordinated LoRA loading with rank-aware SLO scheduling. §5.3,ARXIV
2407.00066,2407.00066,10.48550/arXiv.2407.00066,Compress then Serve: Serving Thousands of LoRA Adapters with Little Overhead,"Gabrielsson R.B., Zhu J., Bhardwaj O., Choshen L., Greenewald K., Yurochkin M., Solomon J.",2024,International Conference on Machine Learning,21,1,fulltext,core,adapter-serving,,LoRA,none,§5.x,,,,Compress-then-Serve: joint LoRA compression into shared basis,Compress-then-Serve: joint LoRA compression into shared basis; 80% throughput at 1000 adapters. §5.x,SCOPUS
10.1145/3704440.3704777,,10.1145/3704440.3704777,Comparative Analysis and Optimization of LoRA Adapter Co-serving for Large Language Models,Chen J.,2024,Middleware Demos/Posters/Doctoral Symposium,3,1,abstract-2nd-pass,core,adapter-serving,,LoRA,none,§5.x,,,,comparative analysis and optimization of LoRA adapter co-serving,§5.x comparative analysis and optimization of LoRA adapter co-serving,SCOPUS
10.1145/3725843.3756083,,10.1145/3725843.3756083,Chameleon: Adaptive Caching and Scheduling for Many-Adapter LLM Inference Environments,"Iliakopoulou N., Stojkovic J., Alverti C., Xu T., Franke H., Torrellas J.",2024,Proceedings of the 58th IEEE/ACM International Symposium on Microarchitecture,8,2,abstract-2nd-pass,core,adapter-serving,,LoRA,none,§5.x,,,,Chameleon: adaptive caching and scheduling for many-adapter LLM inference,§5.x Chameleon: adaptive caching and scheduling for many-adapter LLM inference,SCOPUS
ecf8cb103a07e78cb3d88944691ed39e48e6cd07,,,SLoRA: Scalable Serving of Thousands of LoRA Adapters,,2024,Conference on Machine Learning and Systems,32,3,abstract-2nd-pass,core,adapter-serving,,LoRA,none,§5.x,,,,SLoRA: scalable serving of thousands of LoRA adapters,§5.x SLoRA: scalable serving of thousands of LoRA adapters,
2310.18547,2310.18547,10.48550/arXiv.2310.18547,Punica: Multi-Tenant LoRA Serving,Lequn Chen; Zihao Ye; Yongji Wu; Danyang Zhuo; Luis Ceze; Arvind Krishnamurthy,2023,Conference on Machine Learning and Systems,78,1,fulltext,core,adapter-serving,,LoRA,none,§5.3,★S1,,,Punica: SGMV CUDA kernel for batching across different LoRA models,Punica: SGMV CUDA kernel for batching across different LoRA models; 12× throughput. §5.3 ★S1,ARXIV
2312.05677,2312.05677,10.48550/arXiv.2312.05677,Batched Low-Rank Adaptation of Foundation Models,"Wen Y., Chaudhuri S.",2023,International Conference on Learning Representations,31,3,fulltext,core,adapter-serving,,LoRA; Houlsby-adapter,none,§5.x,★S1,,,FLORA (batched): per-example unique LoRA weights in minibatch,FLORA (batched): per-example unique LoRA weights in minibatch; heterogeneous request batching. §5.x ★S1,SCOPUS
2007.07779,2007.07779,10.18653/v1/2020.emnlp-demos.7,AdapterHub: A Framework for Adapting Transformers,"Pfeiffer J., Rücklé A., Poth C., Kamath A., Vulić I., Ruder S., Cho K., Gurevych I.",2020,EMNLP 2020,722,2,fulltext,core,adapter-serving,,Houlsby-adapter,none,§4.1,★A1,,,AdapterHub: dynamic stitching-in of adapters,AdapterHub: dynamic stitching-in of adapters; centralised registry — limitation motivating ★A1. §4.1,SCOPUS
2503.11880,2503.11880,10.48550/arXiv.2503.11880,FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-the-World LoRA,Jieming Bian; Lei Wang; Letian Zhang; Jie Xu,2025,AAAI Conference on Artificial Intelligence,11,1,fulltext,core,federated-PEFT,,LoRA; MoE-adapters,federated,§6.x,,,,FedALT: personalized federated LoRA with RoW component + MoE-style adaptive mixer,FedALT: personalized federated LoRA with RoW component + MoE-style adaptive mixer. §6.x,ARXIV
10.1109/INFOCOM55648.2025.11044641,,10.1109/INFOCOM55648.2025.11044641,Federated Adaptive Fine-Tuning of Large Language Models with Heterogeneous Quantization and LoRA,"Gao Z., Zhang Z., Guo Y., Gong Y.",2025,IEEE INFOCOM 2025 - IEEE Conference on Computer Communications,7,1,abstract-2nd-pass,core,federated-PEFT,,QLoRA,federated,§6.x,,,,federated adaptive LoRA fine-tuning with heterogeneous quantization,§6.x federated adaptive LoRA fine-tuning with heterogeneous quantization,SCOPUS
10.18653/v1/2025.acl-long.67,,10.18653/v1/2025.acl-long.67,FedEx-LoRA: Exact Aggregation for Federated and Efficient Fine-Tuning of Large Language Models,"Singhal R., Ponkshe K., Vepakomma P.",2025,Annual Meeting of the Association for Computational Linguistics,6,1,fulltext,core,federated-PEFT,,LoRA,federated,§6.x,,,,FedEx-LoRA: residual error term achieves exact FL aggregation with minimal overhead,FedEx-LoRA: residual error term achieves exact FL aggregation with minimal overhead. §6.x,SCOPUS
10.1109/ICDM65498.2025.00089,,10.1109/ICDM65498.2025.00089,DP-FedLoRA: Privacy-Enhanced Federated Fine-Tuning for On-Device Large Language Models,"Xu H., Shrestha S., Chen W., Li Z., Cai Z.",2025,2025 IEEE International Conference on Data Mining (ICDM),0,1,abstract-2nd-pass,core,federated-PEFT,,LoRA,federated,§6.x,,,,DP-FedLoRA: differentially private federated LoRA fine-tuning on-device,§6.x DP-FedLoRA: differentially private federated LoRA fine-tuning on-device,SCOPUS
2510.14054,2510.14054,10.48550/arXiv.2510.14054,FedHFT: Efficient Federated Finetuning with Heterogeneous Edge Clients,Fatih Ilhan; Selim Furkan Tekin; Tiansheng Huang; Gaowen Liu; Ramana Kompella; Greg Eisenhauer; Yingyan Celine Lin; Calton Pu; Ling Liu,2025,International Conference on Cognitive Machine Intelligence,0,3,fulltext,core,federated-PEFT,,MoE-adapters,federated; edge-collaborative,§6.x,,,,FedHFT: mixture of masked adapters,FedHFT: mixture of masked adapters; bi-level optimisation for non-IID heterogeneous edge FL. §6.x,ARXIV
2403.12313,2403.12313,10.48550/arXiv.2403.12313,Improving LoRA in Privacy-preserving Federated Learning,"Sun Y., Li Z., Li Y., Ding B.",2024,International Conference on Learning Representations,163,1,fulltext,core,federated-PEFT,,LoRA,federated,§6.x,,,,FFA-LoRA: fixes LoRA aggregation discordance in FL with DP,FFA-LoRA: fixes LoRA aggregation discordance in FL with DP; halves communication cost. §6.x,SCOPUS
2409.05976,2409.05976,10.48550/arXiv.2409.05976,FLoRA: Federated Fine-Tuning Large Language Models with Heterogeneous Low-Rank Adaptations,"Wang Z., Shen Z., He Y., Sun G., Wang H., Lyu L., Li A.",2024,Neural Information Processing Systems,137,1,fulltext,core,federated-PEFT,,LoRA,federated,§6.x,,,,FLoRA: noise-free stacking aggregation for heterogeneous LoRA ranks across FL clients,FLoRA: noise-free stacking aggregation for heterogeneous LoRA ranks across FL clients. §6.x,SCOPUS
10.1145/3637528.3671897,,10.1145/3637528.3671897,FedBiOT: LLM Local Fine-tuning in Federated Learning without Full Model,"Wu F., Li Z., Li Y., Ding B., Gao J.",2024,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,116,1,abstract-2nd-pass,core,federated-PEFT,,generic-PEFT,federated,§6.x,,,,federated LLM fine-tuning without full model sharing,§6.x federated LLM fine-tuning without full model sharing,SCOPUS
10.52202/079017-0461,,10.52202/079017-0461,Federated Fine-tuning of Large Language Models under Heterogeneous Tasks and Client Resources,"Bai J., Chen D., Qian B., Yao L., Li Y.",2024,Advances in Neural Information Processing Systems 37,83,1,abstract-2nd-pass,core,federated-PEFT,,LoRA,federated; edge-collaborative,§6.x,,,,FlexLoRA: federated LoRA with heterogeneous tasks and client resources,§6.x FlexLoRA: federated LoRA with heterogeneous tasks and client resources,SCOPUS
2407.00952,2407.00952,10.48550/arXiv.2407.00952,SplitLoRA: A Split Parameter-Efficient Fine-Tuning Framework for Large Language Models,Zheng Lin; Xuanjie Hu; Yuxin Zhang; Zhe Chen; Zihan Fang; Xianhao Chen; Ang Li; Praneeth Vepakomma; Yue Gao,2024,ArXiv,73,1,fulltext,core,federated-PEFT,,LoRA,split-learning; federated,§6.x,,,,SplitLoRA: split federated learning + LoRA,SplitLoRA: split federated learning + LoRA; offloads training to server via activation exchange. §6.x,ARXIV
2410.01463,2410.01463,10.48550/arXiv.2410.01463,Selective Aggregation for Low-Rank Adaptation in Federated Learning,"Guo P., Zeng S., Wang Y., Fan H., Wang F., Qu L.",2024,International Conference on Learning Representations,64,1,fulltext,core,federated-PEFT,,LoRA,federated,§6.x,,,,FedSA-LoRA: A-matrix asymmetry analysis in FL,FedSA-LoRA: A-matrix asymmetry analysis in FL; selective aggregation general paradigm. §6.x,SCOPUS
2404.18848,2404.18848,10.48550/arXiv.2404.18848,FeDeRA: Efficient Fine-tuning of Language Models in Federated Learning Leveraging Weight Decomposition,Yuxuan Yan; Qianqian Yang; Shunpu Tang; Zhiguo Shi,2024,ArXiv,34,1,fulltext,core,federated-PEFT,,LoRA,federated,§6.x,,,,FeDeRA: SVD-based LoRA init for FL,FeDeRA: SVD-based LoRA init for FL; robust to non-IID; 1% params vs FFT. §6.x,ARXIV
2410.22815,2410.22815,10.48550/arXiv.2410.22815,Towards Robust and Efficient Federated Low-Rank Adaptation with Heterogeneous Clients,"Koo J., Jang M., Ok J.",2024,Annual Meeting of the Association for Computational Linguistics,19,1,fulltext,core,federated-PEFT,,LoRA,federated,§6.x,,,,LoRA-A²: alternating freeze + adaptive rank selection for low-rank heterogeneous FL,LoRA-A²: alternating freeze + adaptive rank selection for low-rank heterogeneous FL. §6.x,SCOPUS
10.18653/v1/2025.naacl-short.30,,10.18653/v1/2025.naacl-short.30,Towards Federated Low-Rank Adaptation of Language Models with Rank Heterogeneity,"Byun Y., Lee J.",2024,North American Chapter of the Association for Computational Linguistics,7,1,fulltext,core,federated-PEFT,,LoRA,federated,§6.x,,,,Rank-heterogeneous federated LoRA,Rank-heterogeneous federated LoRA; replication padding beats zero-padding aggregation. §6.x,SCOPUS
10.1109/GLOBECOM52923.2024.10901572,,10.1109/GLOBECOM52923.2024.10901572,Federated Low-Rank Adaptation for Large Language Model Fine-Tuning Over Wireless Networks,"Wang Z., Zhou Y., Shi Y., Letaief K.B.",2024,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,5,1,abstract-2nd-pass,core,federated-PEFT,,LoRA,federated; edge-collaborative,§6.x,,,,federated LoRA fine-tuning over wireless networks,§6.x federated LoRA fine-tuning over wireless networks,SCOPUS
10.1109/TMC.2025.3586644,,10.1109/TMC.2025.3586644,Adaptive Parameter-Efficient Federated Fine-Tuning on Heterogeneous Devices,"Liu J., Liao Y., Xu H., Xu Y., Liu J., Qian C.",2024,IEEE Transactions on Mobile Computing 24,4,1,abstract-2nd-pass,core,federated-PEFT,,LoRA,federated,§6.x,,,,adaptive PEFT federated fine-tuning on heterogeneous devices,§6.x adaptive PEFT federated fine-tuning on heterogeneous devices,SCOPUS
10.1109/FLTA63145.2024.10840125,,10.1109/FLTA63145.2024.10840125,Aggregating Low Rank Adapters in Federated Fine-Tuning,"Trautmann E., Hales I., Volk M.F.",2024,2024 2nd International Conference on Federated Learning Technologies and Applications (FLTA),2,1,abstract-2nd-pass,core,federated-PEFT,,LoRA,federated,§6.x,,,,aggregating LoRA adapters in federated fine-tuning,§6.x aggregating LoRA adapters in federated fine-tuning,SCOPUS
10.1109/ICPADS63350.2024.00040,,10.1109/ICPADS63350.2024.00040,FedMCP: Parameter-Efficient Federated Learning with Model-Contrastive Personalization,"Zhao Q., Qu C., Chen C., Fan M., Wang Y.",2024,2024 IEEE 30th International Conference on Parallel and Distributed Systems (ICPADS),2,1,abstract-2nd-pass,core,federated-PEFT,,generic-PEFT,federated,§6.x,,,,federated NLP with PEFT + model-contrastive personalization,§6.x federated NLP with PEFT + model-contrastive personalization,SCOPUS
10.18653/v1/2024.emnlp-main.717,,10.18653/v1/2024.emnlp-main.717,Heterogeneous LoRA for Federated Fine-tuning of On-Device Foundation Models,"Cho Y.J., Liu L., Xu Z., Fahrezi A., Joshi G.",2024,Conference on Empirical Methods in Natural Language Processing,118,3,fulltext,core,federated-PEFT,,LoRA,federated; edge-collaborative,§6.x,,,,HetLoRA: heterogeneous LoRA ranks in FL,HetLoRA: heterogeneous LoRA ranks in FL; rank self-pruning + sparsity-weighted aggregation. §6.x,SCOPUS
2408.11304,2408.11304,10.48550/arXiv.2408.11304,FedMoE: Personalized Federated Learning via Heterogeneous Mixture of Experts,Hanzi Mei; Dongqi Cai; Ao Zhou; Shangguang Wang; Mengwei Xu,2024,ArXiv,18,3,fulltext,core,federated-PEFT,,generic-PEFT,federated; edge-collaborative,§7.x; §6.x,,,,FedMoE: per-client sub-MoE selection + modular aggregation in FL,FedMoE: per-client sub-MoE selection + modular aggregation in FL; data+system heterogeneity. §7.x/§6.x,ARXIV
2308.06522,2308.06522,10.48550/arXiv.2308.06522,SLoRA: Federated Parameter Efficient Fine-Tuning of Language Models,Sara Babakniya; Ahmed Roushdy Elkordy; Yahya H. Ezzeldin; Qingfeng Liu; Kee-Bong Song; Mostafa El-Khamy; Salman Avestimehr,2023,ArXiv,115,1,fulltext,core,federated-PEFT,,LoRA,federated; edge-collaborative,§6.x,,,,SLoRA: data-driven LoRA init for heterogeneous FL,SLoRA: data-driven LoRA init for heterogeneous FL; bridges PEFT-full FT gap. §6.x,ARXIV
10.1145/3682068,,10.1145/3682068,Differentially Private Low-Rank Adaptation of Large Language Model Using Federated Learning,"Liu X.-Y., Zhu R., Zha D., Gao J., Zhong S., White M., Qiu M.",2023,ACM Transactions on Management Information Systems 16,62,1,abstract-2nd-pass,core,federated-PEFT,,LoRA,federated,§6.x,,,,DP-LoRA: differentially private low-rank adaptation with federated learning,§6.x DP-LoRA: differentially private low-rank adaptation with federated learning,SCOPUS
10.1145/3543507.3583212,,10.1145/3543507.3583212,Beyond Fine-Tuning: Efficient and Effective Fed-Tuning for Mobile/Web Users,"Liu B., Cai Y., Bi H., Zhang Z., Li D., Guo Y., Chen X.",2023,Proceedings of the ACM Web Conference 2023,11,3,abstract-2nd-pass,core,federated-PEFT,,generic-PEFT,federated,§6.x,,,,Fed-Tuning beyond fine-tuning for mobile/web with PEFT,§6.x Fed-Tuning beyond fine-tuning for mobile/web with PEFT,SCOPUS
10.18653/v1/2023.findings-acl.632,,10.18653/v1/2023.findings-acl.632,FedPETuning: When Federated Learning Meets the Parameter-Efficient Tuning Methods of Pre-trained Language Models,"Zhang Z., Yang Y., Dai Y., Wang Q., Yu Y., Qu L., Xu Z.",2022,Annual Meeting of the Association for Computational Linguistics,120,1,fulltext,core,federated-PEFT,,generic-PEFT,federated,§6.x,,,,FedPETuning: holistic FL benchmark for PEFT methods with privacy attack analysis,FedPETuning: holistic FL benchmark for PEFT methods with privacy attack analysis. §6.x,SCOPUS
d96aa291c0c56b9522cd7c901f1acd43818f1db3,,,FedAdapter: Efficient Federated Learning for Modern NLP,,2022,,37,1,abstract-2nd-pass,core,federated-PEFT,,Houlsby-adapter,federated,§6.x,,,,FedAdapter: efficient federated learning using adapters for NLP,§6.x FedAdapter: efficient federated learning using adapters for NLP,
2210.01708,2210.01708,10.48550/arXiv.2210.01708,Exploring Parameter-Efficient Fine-tuning for Improving Communication Efficiency in Federated Learning,Guangyu Sun; Umar Khalid; Matias Mendieta; Pu Wang; Chen Chen,2022,BigData Congress [Services Society],17,3,fulltext,core,federated-PEFT,,generic-PEFT,federated,§6.x,,,,PEFT for FL: adapters/prompts reduce communication overhead for foundation models,PEFT for FL: adapters/prompts reduce communication overhead for foundation models. §6.x,ARXIV
10.1109/FLTA67013.2025.11336447,,10.1109/FLTA67013.2025.11336447,FedLoRASwitch: Efficient Federated Learning via LoRA Expert Hotswapping and Routing,"Flink J., Khan B., Daneshtalab M.",2025,2025 3rd International Conference on Federated Learning Technologies and Applications (FLTA),0,1,abstract-2nd-pass,core,federated-PEFT+routing,,LoRA; MoE-adapters,federated; edge-collaborative,§6.x; §7.x,,,,FedLoRASwitch: federated LoRA expert hotswapping and routing,§6.x §7.x FedLoRASwitch: federated LoRA expert hotswapping and routing,SCOPUS
10.18653/v1/2025.naacl-long.201,,10.18653/v1/2025.naacl-long.201,Sparser Mixture-of-Adapters with Cross-Layer Generalization,"Li Z., Zhou T.",2025,North American Chapter of the Association for Computational Linguistics,1,1,fulltext,core,MoE-adapter-routing,,MoE-adapters,none,§7.x,,,,SMOA: cross-layer shared adapter pool with sparse routing,SMOA: cross-layer shared adapter pool with sparse routing; 85% fewer active adapters. §7.x,SCOPUS
2404.15159,2404.15159,10.48550/arXiv.2404.15159,MixLoRA: Enhancing Large Language Models Fine-Tuning with LoRA based Mixture of Experts,Dengchun Li; Yingzi Ma; Naizheng Wang; Zhengmao Ye; Zhiyuan Cheng; Yinghao Tang; Yan Zhang; Lei Duan; Jie Zuo; Cal Yang; Mingjie Tang,2024,ArXiv,119,1,fulltext,core,MoE-adapter-routing,,LoRA; Houlsby-adapter; MoE-adapters,none,§7.x,,,,MixLoRA: LoRA-based sparse MoE with independent attention adapters,MixLoRA: LoRA-based sparse MoE with independent attention adapters; 9% multi-task gain. §7.x,ARXIV
2410.18035,2410.18035,10.48550/arXiv.2410.18035,MiLoRA: Efficient Mixture of Low-Rank Adaptation for Large Language Models Fine-tuning,"Zhang J., Zhao Y., Chen D., Tian X., Zheng H., Zhu W.",2024,Conference on Empirical Methods in Natural Language Processing,39,1,fulltext,core,MoE-adapter-routing,,LoRA; MoE-adapters,none,§7.x; §5.x,,,,MiLoRA: prompt-aware routing reuses expert results across tokens,MiLoRA: prompt-aware routing reuses expert results across tokens; reduces multi-tenant latency. §7.x §5.x,SCOPUS
2404.13628,2404.13628,10.48550/arXiv.2404.13628,Mixture of LoRA Experts,"Wu X., Huang S., Wei F.",2024,International Conference on Learning Representations,164,2,fulltext,core,MoE-adapter-routing,,LoRA; MoE-adapters,none,§7.x,,,,MOLE: hierarchical gating over trained LoRA experts,MOLE: hierarchical gating over trained LoRA experts; NLP+V&L composition. §7.x,SCOPUS
10.18653/v1/2024.acl-long.106,,10.18653/v1/2024.acl-long.106,LoRAMoE: Alleviating World Knowledge Forgetting in Large Language Models via MoE-Style Plugin,"Dou S., Zhou E., Liu Y., Gao S., Shen W., Xiong L., Zhou Y., Wang X., Xi Z., Fan X., Pu S., Zhu J., Zheng R., Gui T., Zhang Q., Huang X.",2024,Annual Meeting of the Association for Computational Linguistics,111,2,fulltext,core,MoE-adapter-routing,,LoRA; MoE-adapters,none,§7.x,,,,LoRAMoE: MoE-style LoRA plugin,LoRAMoE: MoE-style LoRA plugin; router forces world-knowledge LoRAs. §7.x,SCOPUS
2402.12851,2402.12851,10.48550/arXiv.2402.12851,MoELoRA: Contrastive Learning Guided Mixture of Experts on Parameter-Efficient Fine-Tuning for Large Language Models,Tongxu Luo; Jiahe Lei; Fangyu Lei; Weihao Liu; Shizhu He; Jun Zhao; Kang Liu,2024,ArXiv,48,2,fulltext,core,MoE-adapter-routing,,LoRA; MoE-adapters,none,§7.x,,,,MoELoRA contrastive: contrastive learning reduces random routing in MoE-LoRA,MoELoRA contrastive: contrastive learning reduces random routing in MoE-LoRA. §7.x,ARXIV
2403.03432,2403.03432,10.48550/arXiv.2403.03432,Mixture-of-LoRAs: An Efficient Multitask Tuning Method for Large Language Models,Wenfeng Feng; Chuzhan Hao; Yuewei Zhang; Yu Han; Hao Wang,2024,International Conference on Language Resources and Evaluation,28,2,fulltext,core,MoE-adapter-routing,,LoRA; MoE-adapters,none,§7.x; §4.3,,,,Mixture-of-LoRAs: explicit domain routing + labels,Mixture-of-LoRAs: explicit domain routing + labels; iterative domain adaptation. §7.x/§4.3,ARXIV
2406.09679,2406.09679,10.48550/arXiv.2406.09679,Exploring Training on Heterogeneous Data with Mixture of Low-rank Adapters,"Zhou Y., Zhao Z., Du S., Li H., Yao J., Zhang Y., Wang Y.",2024,International Conference on Machine Learning,9,3,fulltext,core,MoE-adapter-routing,,MoE-adapters,none,§7.x,,,,MoLA: MoLA-Grad (task-aware) + MoLA-Router (task-agnostic) for heterogeneous multi-task,MoLA: MoLA-Grad (task-aware) + MoLA-Router (task-agnostic) for heterogeneous multi-task. §7.x,SCOPUS
2309.05444,2309.05444,10.48550/arXiv.2309.05444,Pushing Mixture of Experts to the Limit: Extremely Parameter Efficient MoE for Instruction Tuning,"Zadouri T., Üstün A., Ahmadian A., Ermiş B., Locatelli A., Hooker S.",2023,International Conference on Learning Representations,160,2,fulltext,core,MoE-adapter-routing,,MoE-adapters,none,§7.x,,,,Extremely param-efficient MoE: lightweight adapter experts,Extremely param-efficient MoE: lightweight adapter experts; <1% params of 11B. §7.x,SCOPUS
