Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Zhang J.; Jafary-Zadeh M.; Laskowski R.; Choo Y.Y.D.; Sing S.L.,Insights beneath the surface: Physics-guided multi-task learning for in situ defect detection in laser powder bed fusion,2026,Journal of Manufacturing Processes,1,10.1016/j.jmapro.2026.04.032,Article,,2-s2.0-105036867872
Gupta S.; Deshpande U.; Janssen T.; Sundararaman S.,Symbiosis: Multi-Adapter Inference and Fine-Tuning,2026,SoCC 2025 - Proceedings of the 2025 ACM Symposium on Cloud Computing,0,10.1145/3772052.3772230,Conference paper,All Open Access; Gold Open Access,2-s2.0-105028562990
Ji H.; Wang C.-X.; Li Z.; Chen R.; Wu X.; Huang C.; Meng Z.,LLM4CoT: Large Language Models Orchestrating Chain-of-Task Optimization via Meta-Adapter in 6G Heterogeneous Networks,2026,IEEE Transactions on Network Science and Engineering,1,10.1109/TNSE.2026.3693704,Article,,2-s2.0-105039307135
Liu Y.; Wei W.; Zhang Q.; Li P.; Ma T.,A scalable framework for efficient multi-task learning via task-adaptive feature fusion,2026,Engineering Applications of Artificial Intelligence,0,10.1016/j.engappai.2026.115717,Article,,2-s2.0-105046720900
Fu J.; Fang J.; Sun J.; Zhuang S.; Liu Y.; Lv Z.,Toward Efficient Distributed Network Security: A Lightweight Multitask Traffic Analysis Framework,2026,IEEE Transactions on Networking,1,10.1109/TON.2025.3643832,Article,,2-s2.0-105025474951
Ji Z.; Cao W.; Zhang Y.; Pang Y.; Han J.,Underlying Semantic Diffusion for Effective and Efficient In-Context Learning,2026,IEEE Transactions on Image Processing,0,10.1109/TIP.2026.3707788,Article,All Open Access; Green Open Access,2-s2.0-105044062952
Ding D.; Liu Z.; Chen H.,Multi-Task–Driven Adapter-Based Foundation Model for Locomotion Prediction in Virtual Reality,2026,"ACM Transactions on Multimedia Computing, Communications and Applications",0,10.1145/3786206,Article,,2-s2.0-105045276408
Bao X.; Feng J.; Huo Y.; Qiu H.; Yu H.; Ren S.; Ren J.,Controlled subspace fusion for language model continual learning,2026,Information Fusion,0,10.1016/j.inffus.2026.104184,Article,,2-s2.0-105028890141
Wang Z.; Wang Z.; Xing J.; Wei Y.; Zhong Z.; Zhang L.,Task-Aware Cloud-End Offloading for Vision-Language Model Serving via Dynamic Modality-Specific Adapter Scheduling,2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,0,10.1145/3774904.3792127,Conference paper,All Open Access; Gold Open Access,2-s2.0-105038525416
Zheng T.; Dai L.,Large Language Model Enabled Multi-Task Physical Layer Network,2026,IEEE Transactions on Communications,13,10.1109/TCOMM.2025.3626010,Article,,2-s2.0-105020428906
Yang T.; Zhang P.; Zheng M.; Shi Y.; Jing L.; Huang J.; Li N.,WirelessGPT: A Generative Foundation Model for Multi-Task Integrated Sensing and Communication,2026,IEEE Journal on Selected Areas in Communications,2,10.1109/JSAC.2025.3640156,Article,,2-s2.0-105024101795
Wang J.; Wu Q.M.J.; Zhang N.; Suto K.,RMT-PPAD: Real-time Multi-task Learning for Panoptic Perception in Autonomous Driving,2026,IEEE Transactions on Mobile Computing,0,10.1109/TMC.2026.3725133,Article,All Open Access; Green Open Access,2-s2.0-105048539568
Kim J.; Lee H.,Multi-adapter based Federated Learning Framework for Remaining Useful Life Estimation Considering Heterogenous Local Edge Systems,2026,Industrial Engineering and Management Systems,0,10.7232/iems.2026.25.2.345,Article,,2-s2.0-105044619759
Zhou Y.; Bai P.; Shi X.,"UniVoice: a unified framework for text-to-speech, singing voice synthesis, and opera singing synthesis",2026,Applied Intelligence,1,10.1007/s10489-026-07137-w,Article,,2-s2.0-105030593496
Fan X.; Hu J.; Zheng W.; Liu Y.; Gao S.,SLMFL: Structural and semantic fusion for fault localization based on Small Language Models,2026,Information and Software Technology,0,10.1016/j.infsof.2026.108143,Article,,2-s2.0-105035247987
Song Q.; Sun Y.,Secure Inference Method for Multimodal Large Models Based on Trusted Execution Environments,2026,"2026 IEEE 9th World Conference on Computing and Communication Technologies, WCCCT 2026",0,10.1109/WCCCT69960.2026.11549820,Conference paper,,2-s2.0-105042526497
Kuzmenko D.; Shvai N.,MoIRA: Modular instruction routing architecture for multi-task robotics,2026,Neurocomputing,0,10.1016/j.neucom.2026.132962,Article,All Open Access; Green Open Access,2-s2.0-105029667438
Song X.; He Y.; Peng L.; Gong Y.,Multi-Task Unified Domain Incremental Learning With Domain Difference Adapters,2026,IEEE Transactions on Image Processing,1,10.1109/TIP.2026.3678033,Article,,2-s2.0-105036130173
Wu J.; Pan S.; Li N.; Chen B.; An B.; Wang Z.; Wang Y.; Xia S.-T.,Universal image restoration via task-adaptive diffusion degradation oriented model,2026,Pattern Recognition,2,10.1016/j.patcog.2026.113193,Article,,2-s2.0-105029504486
Wang Z.; Wang Z.; Jin H.; Xing J.; Zhang L.,TailorLLM: Collaborative End-Cloud Inference of Large and Small Language Models Based on Low-Rank Adaptation,2026,EUROSYS 2026 - Proceedings of the 2026 European Conference on Computer Systems,0,10.1145/3767295.3769346,Conference paper,All Open Access; Gold Open Access,2-s2.0-105038399738
Xia Y.,Assessing Intercultural Communicative Competence in China-ASEAN Contexts: A Deep Learning Framework Combining BERT and Attention Mechanisms,2026,"2026 IEEE 2nd International Conference on Electronics, Energy Systems and Power Engineering, EESPE 2026",0,10.1109/EESPE68405.2026.11648679,Conference paper,,2-s2.0-105048657550
Zhuang Y.; Gong C.; Zheng Z.; Wu F.; Chen G.,Resource-Efficient LLM Customization on Mobile Devices Through Proxy Submodel Tuning,2026,IEEE Transactions on Networking,1,10.1109/TON.2026.3658387,Article,,2-s2.0-105028750635
Yu Z.; Idris M.Y.I.; Wang P.; Qureshi R.,DINOv3-Powered Multi-Task Foundation Model for Quantitative Remote Sensing Estimation (Student Abstract),2026,Proceedings of the AAAI Conference on Artificial Intelligence,2,10.1609/aaai.v40i48.42304,Conference paper,All Open Access; Gold Open Access,2-s2.0-105034249712
Chou Y.-H.; Fang R.; Chen H.-W.; Chen M.-S.,LoGIC: Multi-LoRA Guided Importance Consensus for Multi-Task Pruning in Vision Transformers,2026,Proceedings of the AAAI Conference on Artificial Intelligence,0,10.1609/aaai.v40i25.39195,Conference paper,All Open Access; Gold Open Access,2-s2.0-105034735520
Lin S.; Ma Y.; Liu S.; Shi J.; Jin L.; Gao D.; Yu S.; Xuan Q.; Cai X.; Yang L.,HybridMoE: LoRA-Based LLMs Fine-Tune With Hybrid Mixture of Experts,2026,"IEEE Transactions on Audio, Speech and Language Processing",0,10.1109/TASLPRO.2025.3637555,Article,,2-s2.0-105023321349
Kotte V.; Joshi R.; Dutta S.; Kavuru R.R.,Multi-Adapter LLMs: Dynamic Mixture of LoRAs for Scalable Personalization,2026,"2026 International Conference on Smart Futuristic Technology, ICSFT 2026",0,10.1109/ICSFT66733.2026.11507732,Conference paper,,2-s2.0-105041605426
Lou Q.,EMTwinLiteNet+: Lightweight Multi-Task Perceptionwith Feature Decoupling and Edge Refinement,2026,"Proceedings - 2026 IEEE 27th China Conference on System Simulation Technology and its Applications, CCSSTA 2026",0,10.1109/CCSSTA69471.2026.11635549,Conference paper,,2-s2.0-105049046475
Zhao Z.; Liu J.; Zhang S.; Wang L.; Zuo F.,MLRE-WDD: A lightweight mixture of low-rank experts framework for weld defect detection in intelligent pipeline systems,2027,Expert Systems with Applications,0,10.1016/j.eswa.2026.133481,Article,,2-s2.0-105044697720
Jain H.; Naik T.; Jain V.; Arora C.; Pandey S.; Subramaniam V.; Trivedi E.,Efficient Context-Aware Corpus-Grounded Query and Prompt Suggestion constrained by Creative Knowledge Graph,2026,"Proceedings of the Workshop on Synthetic Data Generation and Management for Building AI Systems, SynthAI 2026, Co-located with SIGMOD Companion 2026",0,10.1145/3814574.3816746,Conference paper,All Open Access; Gold Open Access,2-s2.0-105045825494
