Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Wang R.; Sun K.,DSPy-based neural-symbolic pipeline to enhance spatial reasoning in LLMs,2026,Neural Networks,2,10.1016/j.neunet.2025.108022,Article,All Open Access; Hybrid Gold Open Access,2-s2.0-105015562246
Teng W.; Yin H.,Automated modeling scheme for complex steel joints in bridge hanger anchors,2026,Automation in Construction,0,10.1016/j.autcon.2026.107086,Article,,2-s2.0-105040910336
Bhandiwad D.; Gattogi P.; Kangen A.; Basaldella M.; Ferré S.; Vahdati S.; Lehmann J.,Bridging language models and knowledge graphs with controlled natural languages,2026,Knowledge-Based Systems,2,10.1016/j.knosys.2026.115405,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-105029267768
Zhao Y.; Wang Y.,From Retrieval to Comprehension (R2C): A Collaborative Architecture for Campus Policy QA,2026,"Proceedings of 2025 4th International Conference on Artificial Intelligence and Education, ICAIE 2025",0,10.1145/3797552.3797675,Conference paper,All Open Access; Gold Open Access,2-s2.0-105038326490
Gan L.; Chen Z.; Hu Q.; Tang X.; Luo X.; Chu W.; Li G.,Performance and lightweight coexistence: Vision-language model for visual scene question answering in autonomous driving,2026,Advanced Engineering Informatics,0,10.1016/j.aei.2026.104424,Article,,2-s2.0-105029765756
Liu B.; Yamauchi K.,Natural Language-to-SQL via Adaptive Module Selection with Safety-Aware SQL Reuse,2026,"2026 9th International Conference on Artificial Intelligence and Big Data, ICAIBD 2026",0,10.1109/ICAIBD69640.2026.11637236,Conference paper,,2-s2.0-105048324916
Zhang C.; Xu W.; Liu J.; Zhang L.; Liu G.; Guan J.; Zhou Q.; Zhou S.,SemanticLog: Towards Effective and Efficient Large-Scale Semantic Log Parsing,2026,IEEE Transactions on Software Engineering,1,10.1109/TSE.2025.3625121,Article,,2-s2.0-105019939933
Tallam S.; Mummidisetti R.G.; Rasamsetty P.; Kumar D.,MANA (Modular Agentic NoSQL Architecture): Robust NL-to-NoSQL Querying at Enterprise Scale,2026,"Proceedings - 2026 IEEE 50th Annual Computers, Software, and Applications Conference, COMPSAC 2026",0,10.1109/COMPSAC69091.2026.00018,Conference paper,,2-s2.0-105048937441
Li P.; Chen H.; Zheng Z.; He J.; Yang H.,ArchPlanVQA: Benchmark and Comprehensive Evaluation of Vision-Language Models for Understanding Architectural Floor Plan CAD Drawings,2026,Journal of Computing in Civil Engineering,0,10.1061/JCCEE5.CPENG-7571,Article,,2-s2.0-105040960817
Wang G.; Wu G.; Miao F.; Yi F.; Liu Y.; Huang R.,"An LLM-Driven Intelligent Cataloging Method for Government Data with Multi-Functional Module Collaboration: A Case Study of Suining City, Sichuan Province",2026,"2026 9th International Conference on Artificial Intelligence and Big Data, ICAIBD 2026",0,10.1109/ICAIBD69640.2026.11637176,Conference paper,,2-s2.0-105048319891
Ma A.,Cross-media Knowledge Graph Construction and Content Generation Technology for Special Effects Compositing,2026,Procedia Computer Science,0,10.1016/j.procs.2026.04.303,Conference paper,All Open Access; Gold Open Access,2-s2.0-105042405665
Xu W.; Liu Y.; Lu L.; Li H.; Sun G.,"A comprehensive survey on table question answering: Datasets, methods and future directions",2026,Engineering Applications of Artificial Intelligence,0,10.1016/j.engappai.2026.114459,Short survey,,2-s2.0-105032747008
Hou S.; Liu Z.; Xie L.; Chen G.; Jiao H.; Wu S.; Guan X.; Wu H.,PostGISer: The first end-to-end fine-tuned large language model for PostGIS GeoSQL query generation,2027,Information Processing and Management,0,10.1016/j.ipm.2026.105042,Article,All Open Access; Bronze Open Access,2-s2.0-105043909280
Zhang J.; Xiong L.; Gao Z.; Li Y.; Shao Z.; Chen M.; Wang W.; Zhang H.,Research and Practice on ChatBI of SAP ERP Management Data of PowerEnterprise Based on OPEN CLAW,2026,ICPST 2026 - 2026 IEEE 4th International Conference on Power Science and Technology,0,10.1109/ICPST69917.2026.11637422,Conference paper,,2-s2.0-105048487133
Binit A.; Kumar N.; Hanawal M.K.,NL2SQL for Cybersecurity: Automating Osquery Threat Hunting via Natural Language Queries,2026,"International Conference on Communication Systems and Networks, COMSNETS",0,10.1109/COMSNETS67989.2026.11418133,Conference paper,,2-s2.0-105035385515
