read_status,tier,corpus,contribution_type,thesis_sections,title,authors,year,venue,citation_count,peft_technique,distribution_mechanism,contribution_codes,key_finding,doi,arxiv_id,source,paper_key
,1,core,federated-PEFT,§6.x,Towards Robust and Efficient Federated Low-Rank Adaptation with Heterogeneous Clients,"Koo J., Jang M., Ok J.",2024,Annual Meeting of the Association for Computational Linguistics,19,LoRA,federated,,LoRA-A²: alternating freeze + adaptive rank selection for low-rank heterogeneous FL,10.48550/arXiv.2410.22815,2410.22815,SCOPUS,2410.22815
,1,core,federated-PEFT,§6.x,Towards Federated Low-Rank Adaptation of Language Models with Rank Heterogeneity,"Byun Y., Lee J.",2024,North American Chapter of the Association for Computational Linguistics,7,LoRA,federated,,Rank-heterogeneous federated LoRA,10.18653/v1/2025.naacl-short.30,,SCOPUS,10.18653/v1/2025.naacl-short.30
,1,core,federated-PEFT,§6.x,Federated Low-Rank Adaptation for Large Language Model Fine-Tuning Over Wireless Networks,"Wang Z., Zhou Y., Shi Y., Letaief K.B.",2024,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,5,LoRA,federated; edge-collaborative,,federated LoRA fine-tuning over wireless networks,10.1109/GLOBECOM52923.2024.10901572,,SCOPUS,10.1109/GLOBECOM52923.2024.10901572
,1,core,federated-PEFT,§6.x,Adaptive Parameter-Efficient Federated Fine-Tuning on Heterogeneous Devices,"Liu J., Liao Y., Xu H., Xu Y., Liu J., Qian C.",2024,IEEE Transactions on Mobile Computing 24,4,LoRA,federated,,adaptive PEFT federated fine-tuning on heterogeneous devices,10.1109/TMC.2025.3586644,,SCOPUS,10.1109/TMC.2025.3586644
,1,core,federated-PEFT,§6.x,Aggregating Low Rank Adapters in Federated Fine-Tuning,"Trautmann E., Hales I., Volk M.F.",2024,2024 2nd International Conference on Federated Learning Technologies and Applications (FLTA),2,LoRA,federated,,aggregating LoRA adapters in federated fine-tuning,10.1109/FLTA63145.2024.10840125,,SCOPUS,10.1109/FLTA63145.2024.10840125
,1,core,federated-PEFT,§6.x,FedMCP: Parameter-Efficient Federated Learning with Model-Contrastive Personalization,"Zhao Q., Qu C., Chen C., Fan M., Wang Y.",2024,2024 IEEE 30th International Conference on Parallel and Distributed Systems (ICPADS),2,generic-PEFT,federated,,federated NLP with PEFT + model-contrastive personalization,10.1109/ICPADS63350.2024.00040,,SCOPUS,10.1109/ICPADS63350.2024.00040
,1,core,federated-PEFT,§6.x,SLoRA: Federated Parameter Efficient Fine-Tuning of Language Models,Sara Babakniya; Ahmed Roushdy Elkordy; Yahya H. Ezzeldin; Qingfeng Liu; Kee-Bong Song; Mostafa El-Khamy; Salman Avestimehr,2023,ArXiv,115,LoRA,federated; edge-collaborative,,SLoRA: data-driven LoRA init for heterogeneous FL,10.48550/arXiv.2308.06522,2308.06522,ARXIV,2308.06522
,1,core,federated-PEFT,§6.x,Differentially Private Low-Rank Adaptation of Large Language Model Using Federated Learning,"Liu X.-Y., Zhu R., Zha D., Gao J., Zhong S., White M., Qiu M.",2023,ACM Transactions on Management Information Systems 16,62,LoRA,federated,,DP-LoRA: differentially private low-rank adaptation with federated learning,10.1145/3682068,,SCOPUS,10.1145/3682068
,1,core,federated-PEFT,§6.x,FedPETuning: When Federated Learning Meets the Parameter-Efficient Tuning Methods of Pre-trained Language Models,"Zhang Z., Yang Y., Dai Y., Wang Q., Yu Y., Qu L., Xu Z.",2022,Annual Meeting of the Association for Computational Linguistics,120,generic-PEFT,federated,,FedPETuning: holistic FL benchmark for PEFT methods with privacy attack analysis,10.18653/v1/2023.findings-acl.632,,SCOPUS,10.18653/v1/2023.findings-acl.632
,1,core,federated-PEFT,§6.x,FedAdapter: Efficient Federated Learning for Modern NLP,,2022,,37,Houlsby-adapter,federated,,FedAdapter: efficient federated learning using adapters for NLP,,,,d96aa291c0c56b9522cd7c901f1acd43818f1db3
,1,core,federated-PEFT+routing,§6.x; §7.x,FedLoRASwitch: Efficient Federated Learning via LoRA Expert Hotswapping and Routing,"Flink J., Khan B., Daneshtalab M.",2025,2025 3rd International Conference on Federated Learning Technologies and Applications (FLTA),0,LoRA; MoE-adapters,federated; edge-collaborative,,FedLoRASwitch: federated LoRA expert hotswapping and routing,10.1109/FLTA67013.2025.11336447,,SCOPUS,10.1109/FLTA67013.2025.11336447
,1,core,MoE-adapter-routing,§7.x,Sparser Mixture-of-Adapters with Cross-Layer Generalization,"Li Z., Zhou T.",2025,North American Chapter of the Association for Computational Linguistics,1,MoE-adapters,none,,SMOA: cross-layer shared adapter pool with sparse routing,10.18653/v1/2025.naacl-long.201,,SCOPUS,10.18653/v1/2025.naacl-long.201
,1,core,MoE-adapter-routing,§7.x,MixLoRA: Enhancing Large Language Models Fine-Tuning with LoRA based Mixture of Experts,Dengchun Li; Yingzi Ma; Naizheng Wang; Zhengmao Ye; Zhiyuan Cheng; Yinghao Tang; Yan Zhang; Lei Duan; Jie Zuo; Cal Yang; Mingjie Tang,2024,ArXiv,119,LoRA; Houlsby-adapter; MoE-adapters,none,,MixLoRA: LoRA-based sparse MoE with independent attention adapters,10.48550/arXiv.2404.15159,2404.15159,ARXIV,2404.15159
,1,core,MoE-adapter-routing,§7.x; §5.x,MiLoRA: Efficient Mixture of Low-Rank Adaptation for Large Language Models Fine-tuning,"Zhang J., Zhao Y., Chen D., Tian X., Zheng H., Zhu W.",2024,Conference on Empirical Methods in Natural Language Processing,39,LoRA; MoE-adapters,none,,MiLoRA: prompt-aware routing reuses expert results across tokens,10.48550/arXiv.2410.18035,2410.18035,SCOPUS,2410.18035
,1,core,adapter-routing,§4.3,Towards Modular LLMs by Building and Reusing a Library of LoRAs,"Ostapenko O., Su Z., Ponti E.M., Charlin L., Le Roux N., Caccia L., Sordoni A.",2024,International Conference on Machine Learning,64,LoRA,none,★A1; ★R1,LoRA library: MBC clustering + Arrow zero-shot routing,10.48550/arXiv.2405.11157,2405.11157,SCOPUS,2405.11157
,1,core,adapter-routing,§4.3,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition,Chengsong Huang; Qian Liu; Bill Yuchen Lin; Tianyu Pang; Chao Du; Min Lin,2023,ArXiv,318,LoRA,none,★S1; ★A1,LoraHub: gradient-free LoRA composition across tasks,10.48550/arXiv.2307.13269,2307.13269,ARXIV,2307.13269
,1,core,adapter-composition,§4.3,LoraRetriever: Input-Aware LoRA Retrieval and Composition for Mixed Tasks in the Wild,"Zhao Z., Gan L., Wang G., Zhou W., Yang H., Kuang K., Wu F.",2024,Annual Meeting of the Association for Computational Linguistics,64,LoRA,none,★A1; ★S1,LoraRetriever: retrieve-then-compose framework with dynamic LoRA pool and heterogeneous batching,10.48550/arXiv.2402.09997,2402.09997,SCOPUS,2402.09997
,1,core,adapter-composition,§6.x,Client-Customized Adaptation for Parameter-Efficient Federated Learning,"Kim Y., Kim J., Mok W.-L., Park J.-H., Lee S.",2024,Annual Meeting of the Association for Computational Linguistics,26,hypernetwork,federated,★M2,C2A: hypernetwork generates client-specific adapters,10.18653/v1/2023.findings-acl.75,,SCOPUS,10.18653/v1/2023.findings-acl.75
,1,core,survey,§6.x,A Survey on Federated Fine-tuning of Large Language Models,"Wu Y., Tian C., Li J., Sun H., Tam K., Zhou Z., Liao H., Xiong J., Guo Z., Li L., Xu C.",2025,ArXiv,19,generic-PEFT,federated; edge-collaborative,,"FedLLM survey (TMLR 2026): PEFT in FL, benchmarks, open challenges",10.48550/arXiv.2503.12016,2503.12016,SCOPUS,2503.12016
,1,core,survey,§6.x,FederatedScope-LLM: A Comprehensive Package for Fine-tuning Large Language Models in Federated Learning,"Kuang W., Qian B., Li Z., Chen D., Gao D., Pan X., Xie Y., Li Y., Ding B., Zhou J.",2023,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,223,generic-PEFT,federated,,federated PEFT framework,10.1145/3637528.3671573,,SCOPUS,10.1145/3637528.3671573
,2,core,adapter-serving,§5.x,"Toppings: CPU-Assisted, Rank-Aware Adapter Serving for LLM Inference","Li S., Lu H., Wu T., Yu M., Weng Q., Chen X., Shan Y., Yuan B., Wang W.",2025,USENIX Annual Technical Conference,5,LoRA,none,,Toppings: CPU-assisted rank-aware LoRA adapter serving,,,SCOPUS,69d631b3875149050ab3088501cfc9d5cbea9e99
,2,core,adapter-serving,§5.x,FlashServe: Cost-Efficient Serverless Inference Scheduling for Large Language Models via Tiered Memory Management and Predictive Autoscaling,Chen B.,2025,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,2,LoRA,serverless,,FlashServe: serverless LLM inference scheduling with LoRA cold-start handling,10.1145/3795154.3795363,,SCOPUS,10.1145/3795154.3795363
,2,core,adapter-serving,§5.x,Chameleon: Adaptive Caching and Scheduling for Many-Adapter LLM Inference Environments,"Iliakopoulou N., Stojkovic J., Alverti C., Xu T., Franke H., Torrellas J.",2024,Proceedings of the 58th IEEE/ACM International Symposium on Microarchitecture,8,LoRA,none,,Chameleon: adaptive caching and scheduling for many-adapter LLM inference,10.1145/3725843.3756083,,SCOPUS,10.1145/3725843.3756083
,2,core,adapter-serving,§4.1,AdapterHub: A Framework for Adapting Transformers,"Pfeiffer J., Rücklé A., Poth C., Kamath A., Vulić I., Ruder S., Cho K., Gurevych I.",2020,EMNLP 2020,722,Houlsby-adapter,none,★A1,AdapterHub: dynamic stitching-in of adapters,10.18653/v1/2020.emnlp-demos.7,2007.07779,SCOPUS,2007.07779
,2,core,MoE-adapter-routing,§7.x,Mixture of LoRA Experts,"Wu X., Huang S., Wei F.",2024,International Conference on Learning Representations,164,LoRA; MoE-adapters,none,,MOLE: hierarchical gating over trained LoRA experts,10.48550/arXiv.2404.13628,2404.13628,SCOPUS,2404.13628
,2,core,MoE-adapter-routing,§7.x,LoRAMoE: Alleviating World Knowledge Forgetting in Large Language Models via MoE-Style Plugin,"Dou S., Zhou E., Liu Y., Gao S., Shen W., Xiong L., Zhou Y., Wang X., Xi Z., Fan X., Pu S., Zhu J., Zheng R., Gui T., Zhang Q., Huang X.",2024,Annual Meeting of the Association for Computational Linguistics,111,LoRA; MoE-adapters,none,,LoRAMoE: MoE-style LoRA plugin,10.18653/v1/2024.acl-long.106,,SCOPUS,10.18653/v1/2024.acl-long.106
,2,core,MoE-adapter-routing,§7.x,MoELoRA: Contrastive Learning Guided Mixture of Experts on Parameter-Efficient Fine-Tuning for Large Language Models,Tongxu Luo; Jiahe Lei; Fangyu Lei; Weihao Liu; Shizhu He; Jun Zhao; Kang Liu,2024,ArXiv,48,LoRA; MoE-adapters,none,,MoELoRA contrastive: contrastive learning reduces random routing in MoE-LoRA,10.48550/arXiv.2402.12851,2402.12851,ARXIV,2402.12851
,2,core,MoE-adapter-routing,§7.x; §4.3,Mixture-of-LoRAs: An Efficient Multitask Tuning Method for Large Language Models,Wenfeng Feng; Chuzhan Hao; Yuewei Zhang; Yu Han; Hao Wang,2024,International Conference on Language Resources and Evaluation,28,LoRA; MoE-adapters,none,,Mixture-of-LoRAs: explicit domain routing + labels,10.48550/arXiv.2403.03432,2403.03432,ARXIV,2403.03432
,2,core,MoE-adapter-routing,§7.x,Pushing Mixture of Experts to the Limit: Extremely Parameter Efficient MoE for Instruction Tuning,"Zadouri T., Üstün A., Ahmadian A., Ermiş B., Locatelli A., Hooker S.",2023,International Conference on Learning Representations,160,MoE-adapters,none,,Extremely param-efficient MoE: lightweight adapter experts,10.48550/arXiv.2309.05444,2309.05444,SCOPUS,2309.05444
,2,core,MoE-adapter-routing,§7.x,MOELoRA: An MOE-based Parameter Efficient Fine-Tuning Method for Multi-task Medical Applications,Qidong Liu; Xian Wu; Xiangyu Zhao; Yuanshao Zhu; Derong Xu; Feng Tian; Yefeng Zheng,2023,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,144,LoRA; MoE-adapters,none,,MOELoRA: MoE+LoRA for multi-task medical NLP,10.48550/arXiv.2310.18339,2310.18339,ARXIV,2310.18339
,2,core,MoE-adapter-routing,§7.x,When MOE Meets LLMs: Parameter Efficient Fine-tuning for Multi-task Medical Applications,"Liu Q., Wu X., Zhao X., Zhu Y., Xu D., Tian F., Zheng Y.",2023,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,138,LoRA; MoE-adapters,none,,MoE + PEFT for multi-task medical LLM applications,10.1145/3626772.3657722,,SCOPUS,10.1145/3626772.3657722
,2,core,MoE-adapter-routing,§7.x; §4.x,Mixture-of-Domain-Adapters: Decoupling and Injecting Domain Knowledge to Pre-trained Language Models’ Memories,Shizhe Diao; Tianyang Xu; Ruijia Xu; Jiawei Wang; Tong Zhang,2023,Annual Meeting of the Association for Computational Linguistics,53,MoE-adapters,none,,MixDA: MoE gate fuses parallel domain adapters,10.48550/arXiv.2306.05406,2306.05406,ARXIV,2306.05406
,2,core,MoE-adapter-routing,§4.x; §7.x,AdaMix: Mixture-of-Adaptations for Parameter-efficient Model Tuning,"Wang Y., Agarwal S., Mukherjee S., Liu X., Gao J., Awadallah A.H., Gao J.",2022,ArXiv,180,LoRA; Houlsby-adapter; MoE-adapters,none,,AdaMix: mixture-of-adaptations PEFT (MoE-style adapter composition),10.48550/arXiv.2210.17451,2210.17451,SCOPUS,2210.17451
,2,core,adapter-routing,§7.x,Learning to Route Among Specialized Experts for Zero-Shot Generalization,"Muqeeth M., Liu H., Liu Y., Raffel C.",2024,International Conference on Machine Learning,61,generic-PEFT,none,★A1; ★R1,PHATGOOSE: post-hoc tokenwise gating over expert collection,10.48550/arXiv.2402.05859,2402.05859,SCOPUS,2402.05859
,2,core,adapter-routing,§4.x; §7.x,Single-dataset Experts for Multi-dataset Question Answering,"Friedman D., Dodge B., Chen D.",2021,Conference on Empirical Methods in Natural Language Processing,26,Houlsby-adapter,none,,MADE: single-task adapter experts + parameter averaging for zero-shot transfer,10.18653/v1/2021.emnlp-main.495,,SCOPUS,10.18653/v1/2021.emnlp-main.495
,2,core,adapter-composition,§3.4,DoRA: Weight-Decomposed Low-Rank Adaptation,"Liu S.-Y., Wang C.-Y., Yin H., Molchanov P., Wang Y.-C.F., Cheng K.-T., Chen M.-H.",2024,International Conference on Machine Learning,730,LoRA,none,,DoRA: magnitude+direction decomposition for LoRA,10.48550/arXiv.2402.09353,2402.09353,SCOPUS,2402.09353
,2,core,adapter-composition,§3.3,The Expressive Power of Low-Rank Adaptation,"Zeng Y., Lee K.",2023,International Conference on Learning Representations,113,LoRA,none,★T2,Expressive Power of LoRA: rank-width-depth bounds,10.48550/arXiv.2310.17513,2310.17513,SCOPUS,2310.17513
,2,core,adapter-composition,§4.x,Adapters: A Unified Library for Parameter-Efficient and Modular Transfer Learning,"Poth C., Sterz H., Paul I., Purkayastha S., Engländer L., Imhof T., Vulić I., Ruder S., Gurevych I., Pfeiffer J.",2023,Conference on Empirical Methods in Natural Language Processing,82,generic-PEFT,none,★A1; ★S1,Adapters library: 10 adapter methods in unified interface with composition blocks,10.48550/arXiv.2311.11077,2311.11077,SCOPUS,2311.11077
,2,core,adapter-composition,§4.x,Prototype-based HyperAdapter for Sample-Efficient Multi-task Tuning,"Zhao H., Fu J., He Z.",2023,Conference on Empirical Methods in Natural Language Processing,9,hypernetwork,none,★R1,PHA: prototype retriever + hypernetwork generates adapters,10.48550/arXiv.2310.11670,2310.11670,SCOPUS,2310.11670
,2,core,adapter-composition,§4.x,Memory Efficient Continual Learning with Transformers,"Ermis B., Zappella G., Wistuba M., Rawal A., Archambeau C.",2022,Advances in Neural Information Processing Systems 35,62,generic-PEFT,none,,memory efficient continual learning with adapter-based transformers,10.52202/068431-0772,,SCOPUS,10.52202/068431-0772
,2,core,adapter-composition,§4.x,Multilingual Machine Translation with Hyper-Adapters,"Baziotis C., Artetxe M., Cross J., Bhosale S.",2022,Conference on Empirical Methods in Natural Language Processing,27,hypernetwork,none,,Hyper-Adapters for MT: hypernetworks encode language relatedness,10.48550/arXiv.2205.10835,2205.10835,SCOPUS,2205.10835
,2,core,adapter-composition,§4.x,Hyperdecoders: Instance-specific decoders for multi-task NLP,"Ivison H., Peters M.E.",2022,Conference on Empirical Methods in Natural Language Processing,25,hypernetwork,none,,Hyperdecoders: per-instance hypernetwork decoder,10.48550/arXiv.2203.08304,2203.08304,SCOPUS,2203.08304
,2,core,adapter-composition,§4.x,HyperPELT: Unified Parameter-Efficient Language Model Tuning for Both Language and Vision-and-Language Tasks,"Zhang Z., Guo W., Meng X., Wang Y., Wang Y., Jiang X., Liu Q., Yang Z.",2022,Annual Meeting of the Association for Computational Linguistics,18,hypernetwork,none,,HyperPELT: shared hypernetwork for NLP+V&L,10.48550/arXiv.2203.03878,2203.03878,SCOPUS,2203.03878
,2,core,adapter-composition,§3.4; §4.x,Parameter-efficient Multi-task Fine-tuning for Transformers via Shared Hypernetworks,"Mahabadi R.K., Ruder S., Dehghani M., Henderson J.",2021,Annual Meeting of the Association for Computational Linguistics,361,hypernetwork,none,,HyperFormer: hypernetworks generate adapters for all layers+tasks,10.18653/v1/2021.acl-long.47,,SCOPUS,10.18653/v1/2021.acl-long.47
,2,core,adapter-composition,§3.4; §4.x,UniPELT: A Unified Framework for Parameter-Efficient Language Model Tuning,"Mao Y., Mathias L., Hou R., Almahairi A., Ma H., Han J., Yih W.-T., Khabsa M.",2021,Annual Meeting of the Association for Computational Linguistics,221,generic-PEFT,none,,UniPELT: gating activates best PEFT submodule per task,10.18653/v1/2022.acl-long.433,,SCOPUS,10.18653/v1/2022.acl-long.433
