Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Gao Z.; Ma Z.; Zhong Y.; Gong Y.-J.; Guo H.,Detect and Act: Automated Dynamic Optimizer through Meta-Black-Box Optimization,2026,GECCO 2026 - Proceedings of the 2026 Genetic and Evolutionary Computation Conference,0,10.1145/3795095.3805055,Conference paper,All Open Access; Hybrid Gold Open Access,2-s2.0-105045714049
Liu X.; Zhang G.; Zhu Y.; Zhou B.,TSMMR: a mixed Mamba network with cross-drone template fusion and text-guided redetection for robust aerial tracking,2026,Visual Computer,0,10.1007/s00371-026-04585-w,Article,,2-s2.0-105045572969
Ridoy A.R.; Biswas A.K.,Adaptive Intrusion Detection Systems: Leveraging Meta-Learning for Improved Cybersecurity,2026,IEEE Transactions on Network and Service Management,0,10.1109/TNSM.2026.3706597,Article,All Open Access; Green Open Access,2-s2.0-105043410648
Gao Y.; Gonzalez-Martinez D.; Wissert S.; Bader H.; Sahni N.; Le A.; Doebele R.C.; Bugaj L.J.,Suppression of EGFR signaling and drug-induced potentiation are widespread features of oncogenic RTK fusions,2026,Proceedings of the National Academy of Sciences of the United States of America,0,10.1073/pnas.2529373123,Article,All Open Access; Green Open Access,2-s2.0-105046869150
Lin B.; Gao N.; Gao Y.; Chang H.; Hu C.; Zhang Z.; Gao X.,Cross-Domain Interest Representation Learning for Scenario- and Task-Aware Recommendation,2026,SIGIR 2026 - Proceedings of the 49th International ACM SIGIR Conference on Research and Development in Information Retrieval,0,10.1145/3805712.3809545,Conference paper,All Open Access; Gold Open Access,2-s2.0-105047245572
Jin K.; Wang Y.; Santos L.; Oliveira H.G.; Yang X.; Im S.K.,Role-aware adapters for dialogue summarization in Seq2Seq models,2026,Applied Soft Computing,2,10.1016/j.asoc.2025.114293,Article,,2-s2.0-105022595775
Kim G.; Yang Y.,Knowledge Integration for Multilingual Fake News Detection: LLM Rationales and Adapter-based Deep Fusion,2026,IEEE Access,1,10.1109/ACCESS.2026.3681698,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105036276287
Zhang X.; Zhang R.; Zhang Y.; Yang T.; Wu L.; Cao Y.; Xiao J.; Li J.; Gao X.; Cao X.; Liu J.; Xin M.; Zong Y.; Ni Z.; Sun Q.; Yao Y.,Transcriptional adapter ADA2 regulates yield and end-use quality through liquid–liquid phase separation in wheat,2026,Journal of Integrative Plant Biology,0,10.1111/jipb.70227,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-105033014506
Shi L.; Wu T.; Ma R.,TP-VPR: Enhancing Visual Place Recognition with Textual Priors via Two-Stage Image-Text Alignment,2026,"2026 International Conference on Communication Networks and Machine Learning, CNML 2026",0,10.1109/CNML68938.2026.11452332,Conference paper,,2-s2.0-105036714753
Lukáč M.; Duchoň F.; Ivan J.; Dekan M.; Zelenay E.; Kocúr M.; Trepáčová I.; Jurov T.; Pšenka R.,Large Language Models: From Internal Architecture and Distributed Training Optimisation to Adaptation Strategies,2026,Applied Sciences (Switzerland),0,10.3390/app16157849,Review,All Open Access; Gold Open Access,2-s2.0-105047062552
Singh R.K.; Kumar P.; Gupta M.P.,Responsible Flexibility in the Generative Artificial Intelligence Adoption: Integration of Dynamic Capabilities and Ethical Governance,2026,Global Journal of Flexible Systems Management,0,10.1007/s40171-026-00503-0,Article,,2-s2.0-105041423340
Lei J.; Hu D.; Wang Y.,MTF-CLIP: Efficient multimodal action recognition framework exploring multi-criteria token fusion,2026,Image and Vision Computing,0,10.1016/j.imavis.2026.106046,Article,,2-s2.0-105040776523
Zhang C.; Wang Y.; You X.,Fault diagnosis in rotating machinery with discretized signal representation leveraging large language models,2026,Applied Soft Computing,6,10.1016/j.asoc.2025.114487,Article,,2-s2.0-105026122517
Kang Y.; Hua L.; Fu J.; Yu L.; Tan X.,ABD-CLIP: anomaly-aware bidirectional CLIP with temporal graph-former for weakly supervised video anomaly detection,2026,Complex and Intelligent Systems,0,10.1007/s40747-026-02349-6,Article,All Open Access; Gold Open Access,2-s2.0-105048145593
Feng J.; Liu J.,Enhancing cross-cultural humor detection with theory-informed adapters,2026,Entertainment Computing,0,10.1016/j.entcom.2026.101179,Article,,2-s2.0-105043613152
Ben Gara Ali M.; Smiti A.,"Alz-Fed-XAI: A dynamic federated transformer for multimodal Alzheimer's classification, fuzzy explainable reasoning and smart decision support",2026,Applied Soft Computing,0,10.1016/j.asoc.2026.115716,Article,,2-s2.0-105041666507
Saadi I.; Hadid A.; Cunningham D.W.; Taleb-Ahmed A.; Hillali Y.E.,PE-CLIP: A Parameter-Efficient Fine-Tuning of Vision Language Models for Dynamic Facial Expression Recognition,2026,"ACM Transactions on Multimedia Computing, Communications and Applications",3,10.1145/3786789,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-105045265191
Guo Y.; Chen H.; Feng S.; Wang Q.; Liu J.; Song W.,Multi-modal adapter for AI-generated image detection,2026,Computer Vision and Image Understanding,0,10.1016/j.cviu.2026.104900,Article,,2-s2.0-105047519138
Khor H.G.; Chen F.; Liao H.,CFM-SAM2: CNN-Prompt-Guided Segment Anything 2 with Cross-Modal Fusion and Contextual Feature Assimilation for Gross Target Volume Segmentation in Nasopharyngeal Carcinoma,2026,"Proceedings of 2025 2nd International Conference on Smart Healthcare and Wearable Intelligent Devices, SHWID 2025",0,10.1145/3788112.3788135,Conference paper,,2-s2.0-105032096002
Yao H.; Chen Q.; Luo W.; Zhang Z.; Liao J.; You W.,TDSS: Task Dynamic-Synergistic Skill Adaptation for Boosting Efficient and Scalable Multi-Task Learning in Dense Visual Prediction,2026,Proceedings of the AAAI Conference on Artificial Intelligence,0,10.1609/aaai.v40i14.38172,Conference paper,All Open Access; Gold Open Access,2-s2.0-105035030075
Zhu Z.; Su Q.; Ding Y.; Song K.; Wang S.; Pekhimenko G.,LoRAFusion: Efficient LoRA Fine-Tuning for LLMs,2026,EUROSYS 2026 - Proceedings of the 2026 European Conference on Computer Systems,2,10.1145/3767295.3769331,Conference paper,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105038404404
Lin J.; Dong Y.; Zhang Z.; Wang L.; Wei B.,A behavioral theory-guided language modeling framework for electric vehicle charging choice prediction,2027,Travel Behaviour and Society,0,10.1016/j.tbs.2026.101371,Article,All Open Access; Bronze Open Access,2-s2.0-105047994628
Luo J.; Ouyang Z.; Luo X.; Li H.; Xiao Z.; Wang Y.; Zhang M.,Space-based Parameter Evolving with Lightweight Optimization for Graph Adaptation to Evolving Shifts,2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,0,10.1145/3774904.3792714,Conference paper,All Open Access; Gold Open Access,2-s2.0-105038587710
Khan A.; Moon H.; Noh W.,Adapter-Based Vision–Language Fusion for Skin Cancer Diagnosis Using Synthetic Data,2026,IEEE Transactions on Multimedia,0,10.1109/TMM.2026.3717487,Article,,2-s2.0-105046321860
Wang H.; Xu S.; Guo R.; Han J.; Huang M.-C.,Neurosense: Bridging Neural Dynamics and Mental Health Through Deep Learning for Brain Health Assessment via Reaction Time and p-Factor Prediction,2026,Diagnostics,1,10.3390/diagnostics16020293,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105028666295
Lei Y.; Mao S.; Zhou S.; Zhang H.; Li X.; Luo P.,Dynamic Mixture of Progressive Parameter-Efficient Expert Library for Lifelong Robot Learning,2026,Transactions on Machine Learning Research,0,,Article,,2-s2.0-105040193878
Li S.; Wu D.; Zhao S.; Yang J.; Sawan M.,Memory-Efficient Intrinsic Gating Adaptation for Enhanced On-Device Epilepsy Diagnosis,2026,IEEE Journal of Biomedical and Health Informatics,0,10.1109/JBHI.2025.3643602,Article,,2-s2.0-105025435423
Chounos K.; Sakellariou I.; Korakis T.,Hardware-Independent Energy Runtime Monitoring for IoT Systems (HERMIS),2026,"2026 Joint European Conference on Networks and Communications and 6G Summit, EuCNC/6G Summit 2026",0,10.1109/EuCNC/6GSummit68295.2026.11577457,Conference paper,,2-s2.0-105044414994
Ivković M.; Vujadinović N.; Traparić I.; Stankov B.D.; Gavrilović-Božović M.; Kuzmanović M.; Savović J.,Functional model of modular measuring head for in situ low pressure LIBS on complex surface geometries,2026,Measurement Science and Technology,0,10.1088/1361-6501/ae59a6,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-105037439485
Yang C.; Yang B.; Li J.; Wang X.; Li J.; Zhang Y.; Chen Y.; Cangelosi A.; Xiang W.,ABVnet: Adapter-based fine-tuning Bimodal ViTs network for Dynamic Facial Expression Recognition in-the-wild,2026,Information Fusion,2,10.1016/j.inffus.2025.103959,Article,,2-s2.0-105022848887
Luan Q.,TRANSFORMER FOR INDIVIDUALIZED SPORTS MOTION ANALYSIS AND HEALTH-RELATED ACTIVITY RECOGNITION BASED ON MULTIMODAL DEEP LEARNING METHOD,2026,Journal of Mechanics in Medicine and Biology,1,10.1142/S0219519426400373,Article,,2-s2.0-105034177245
Bralina S.; Yazici A.; Guan C.; Lee M.-H.,"Adaptive bottleneck transformer for multimodal EEG, audio, and vision fusion",2026,Expert Systems with Applications,1,10.1016/j.eswa.2026.131487,Article,,2-s2.0-105030824792
Liu S.; Wang Z.; Zheng H.; Hu Y.; Wang X.; Yang Q.; Wu J.; Guo H.; Deng L.,ISTASTrack: Bridging ANN and SNN via ISTA Adapter for RGB-Event Tracking,2026,IEEE Transactions on Image Processing,0,10.1109/TIP.2026.3694138,Article,All Open Access; Green Open Access,2-s2.0-105039884167
Zhang X.; Tang W.; Peng Y.; Hao H.; Ye Z.; Han B.; Sun Y.; Liu D.,FSFNet:A frequency-semantic fusion network with multi-scale adaptation for camouflaged object detection,2026,Displays,0,10.1016/j.displa.2026.103498,Article,,2-s2.0-105037048292
Sha Y.; Tan Z.; Huo X.; Liu R.; Luo Z.; Chen X.,S2AM: Dynamic Center–Surround Mechanism for Remote Sensing Salient Object Detection,2026,Remote Sensing,1,10.3390/rs18101490,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105040123412
Zhou Y.; Bai P.; Shi X.,"UniVoice: a unified framework for text-to-speech, singing voice synthesis, and opera singing synthesis",2026,Applied Intelligence,1,10.1007/s10489-026-07137-w,Article,,2-s2.0-105030593496
Gan L.; Chen Z.; Hu Q.; Tang X.; Luo X.; Chu W.; Li G.,Performance and lightweight coexistence: Vision-language model for visual scene question answering in autonomous driving,2026,Advanced Engineering Informatics,0,10.1016/j.aei.2026.104424,Article,,2-s2.0-105029765756
Qin L.; Wang X.; Wang Y.,Symmetry-Aware Continual Learning for Dynamic Dimensional Multivariate Time Series Forecasting: Integrating Redundancy Clustering and Multi-LoRA Adapters,2026,Symmetry,0,10.3390/sym18020363,Article,All Open Access; Gold Open Access,2-s2.0-105031265407
Cheng J.; Wen Z.; Hu Y.; Guan F.; Chi R.,PG-DB-RTDETR: Physics-Guided Real-Time Detection in Foggy Scenes,2026,IEEE Signal Processing Letters,0,10.1109/LSP.2026.3692066,Article,,2-s2.0-105039072002
Zhang Q.; Dai W.; Pan M.; Liu Z.; Ding Z.; Xiang Y.; Wan K.; He X.,Causal-aligned language models: A hierarchical feature fusion framework for few-shot multivariate time series classification,2026,Proceedings of SPIE - The International Society for Optical Engineering,0,10.1117/12.3106954,Conference paper,,2-s2.0-105040048091
Wang T.; Liu X.; Zhang Y.; Wu G.; Tang J.,Semi-Supervised Multi-Task Learning for AS-OCT Anterior Chamber Parameter Measurement,2026,IEEE Transactions on Instrumentation and Measurement,0,10.1109/TIM.2026.3693428,Article,,2-s2.0-105039577046
Yan H.-L.; Xu X.-S.,TGRF-CLIP: CLIP-based text-guided fusion of visual residuals for few-shot anomaly detection,2026,Expert Systems with Applications,1,10.1016/j.eswa.2026.132817,Article,,2-s2.0-105038921987
Yang Z.; Xu Y.; Wan C.; Yang Y.,Multi-scale Frequency Adapter and Dual-path Attention for Time Series Forecasting; [融合多尺度频域适配器和双路注意力的时序预测],2026,Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology,1,10.11999/JEIT251188,Article,,2-s2.0-105046245963
Xu X.; Yu L.; Yuan Y.; Wang S.; Chai R.; Li C.,Fine-grained tree-species segmentation in UAV RGB imagery using parameter-efficient segment anything adaptation,2026,Journal of Forestry Research,0,10.1007/s11676-026-02107-x,Article,,2-s2.0-105046606775
Xu B.; Hou R.; Ren T.; Zhou D.; Wu G.; Cao J.,Learning frequency and memory-aware prompts for multi-modal object tracking,2026,Pattern Recognition,6,10.1016/j.patcog.2026.113532,Article,,2-s2.0-105033801402
Chen H.; Guo Y.; Wang C.,SHARP: A Multimodal Vision-Language Active Learning Framework for Cold-Start Image Retrieval,2026,DLCV 2026 - 2026 IEEE 3rd International Conference on Deep Learning and Computer Vision,0,10.1109/DLCV69906.2026.11635196,Conference paper,,2-s2.0-105047680142
Tang T.; Rao Z.; Wang Y.; Chan S.; Li C.; Sang Y.; Zou L.,HATSAM: hierarchical adaptation strategy for segment anything model in medical imaging,2026,"Signal, Image and Video Processing",0,10.1007/s11760-026-05288-4,Article,,2-s2.0-105035340169
Winkens T.; Neuschulz W.; Hoppe H.-W.; Perkas O.; Seifert P.; Gühne F.; Greiser J.; Freesmeyer M.; Kühnel C.,Quantification of Isoflurane Uptake for Immobilization of Ostrich Embryos for Preclinical In Ovo Imaging,2026,Life,0,10.3390/life16030525,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105034003785
Hong C.; Sun J.; Wu Y.; Jiang Y.; Diao Y.; Wang L.; Fang H.,LGFNet: A Local-Global Focused Network for EEG Seizure Detection,2026,ICIMH 2025 - Proceedings of the 6th International Conference on Intelligent Medicine and Health,0,10.1145/3784929.3784934,Conference paper,All Open Access; Gold Open Access,2-s2.0-105031597013
Sun L.; Zhang Z.; Oin W.,Pig Instance Segmentation Based on Tracking Prompts and Fine-tuned Large Vision Models; [追踪提示结合视觉大模型微调的猪只实例分割方法],2026,Nongye Jixie Xuebao/Transactions of the Chinese Society for Agricultural Machinery,0,10.6041/j.issn.1000-1298.2026.15.003,Article,,2-s2.0-105047773608
Qin Y.; Pan C.; Chen J.; Chen R.; Chen J.; Qu R.,MM-DINO: DINOv3-Based Universal Framework for Uni and Multimodal Remote Sensing Image Semantic Segmentation,2026,IEEE Transactions on Geoscience and Remote Sensing,2,10.1109/TGRS.2026.3677346,Article,,2-s2.0-105034397710
Jing J.; Lv Y.; Li M.; Liu D.; Zhang Z.,Constructing adaptive spatial-frequency interactive network with bi-directional adapter for generalizable face forgery detection,2026,Computer Vision and Image Understanding,0,10.1016/j.cviu.2025.104599,Article,,2-s2.0-105024353415
Jin S.; Cheng Y.; Zhai W.; Zhou X.; Xue J.,Research on transfer monitoring model of tool wear driven by adaptive signal processing and multimodal feature fusion,2026,Measurement: Journal of the International Measurement Confederation,0,10.1016/j.measurement.2026.121688,Article,,2-s2.0-105037388436
