title,year,sources,venue_or_id,screening_rationale
Per-FedLoRA: Personalized Federated LoRA Fine-Tuning for Multi-Task Large Language Models,2026,Scopus,"2026 International Wireless Communications and Mobile Computing Conference, IWCMC 2026",Federated LoRA for multi-task LLMs
PreLort: Prefix-Nested LoRA for Federated Fine-Tuning under Rank Heterogeneity,2026,arXiv,arXiv:2606.15963,Federated LoRA under rank heterogeneity
Priority-Aware Learning-Unlearning Correction for Dynamic Decentralized LoRA Fine-Tuning,2026,arXiv,arXiv:2606.22878,"Decentralised federated LoRA (P2P-adjacent, Pillar 2/4)"
Prototype-Guided and Lightweight Adapters for Inherent Interpretation and Generalisation in Federated Learning,2026,WoS,"MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION - MICCAI 2025, PT VII","Federated adapters, interpretability (Pillar 2)"
RW-LoRA: Communication-Efficient Decentralized LoRA Fine-Tuning via Random Walks,2026,arXiv,arXiv:2609.00078,Decentralised LoRA via random walks -- directly P2P-relevant
Rethinking Factor Sharing in Federated LoRA: A Rank-Aware Adaptive Approach,2026,arXiv,arXiv:2608.09742,Federated LoRA factor-sharing analysis
Routing Is Not Enough: Diagnosing Intra-Adapter Subspace Contention in MoE+LoRA Fine-Tuning,2026,arXiv,arXiv:2609.03150,MoE+LoRA routing diagnostics for LLMs (Pillar 1/5)
SpecPrefetch: Parameter-Efficient Expert Prefetching for Sparse MoE Foundation Models,2026,arXiv,arXiv:2607.24787,MoE expert prefetching for foundation-model serving (Pillar 3/5)
Spend Experts Where You Are Unsure: Confidence-Adaptive Routing for Mixture-of-Experts LoRA,2026,arXiv,arXiv:2607.26052,Confidence-adaptive MoE-LoRA routing (Pillar 1/5)
Statistical Inference for Rank Allocation in Low-Rank Adaptation,2026,arXiv,arXiv:2607.20205,LoRA rank-allocation theory (Pillar 1)
TailorLLM: Collaborative End-Cloud Inference of Large and Small Language Models Based on Low-Rank Adaptation,2026,Scopus,EUROSYS 2026 - Proceedings of the 2026 European Conference on Computer Systems,LoRA-based end-cloud LLM serving (Pillar 3)
Task-Aware Cloud-End Offloading for Vision-Language Model Serving via Dynamic Modality-Specific Adapter Scheduling,2026,Scopus,WWW 2026 - Proceedings of the ACM Web Conference 2026,Adapter-scheduled VLM serving (Pillar 3)
TransFR: Transferable Federated Recommendation with Adapter Tuning on Pre-trained Language Models,2026,WoS,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 33",Federated adapter tuning on pretrained LMs (Pillar 2)
