Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number),matched_queries
"Fajardo, B; Neiva, S",'Malha Fina de Convênios': an AI application for auditing in the Brazilian federal government,2026,PUBLIC MONEY & MANAGEMENT,1,10.1080/09540962.2025.2499704,Article,,WOS:001484043800001,Q3
"Li, Y; Deng, XZ; Yang, A; Gao, J",1D Convolution-Enhanced Mamba: A Method for Accurate Capture of Long-Sequence Stealthy DDoS Attacks,2026,ELECTRONICS,0,10.3390/electronics15102096,Article,,WOS:001774421500001,Q10
"Warman-Chardon, J; Straub, V; Vissing, J; Schlaeger, S; Kan, HE","286th ENMC international workshop: Muscle imaging: artificial intelligence, automatic segmentation and imaging data sharing in neuromuscular disease. Hoofddorp, The Netherlands, 7-9 March 2025",2026,NEUROMUSCULAR DISORDERS,1,10.1016/j.nmd.2025.106304,Article,,WOS:001668506400001,Q3
"Peng, XT; Song, S; Zhang, XY; Dong, MX; Ota, K; Xu, LX",2FDP-BRL: A New Framework of Distributed Task Offloading for IoAV in Extreme Weather Scenarios,2026,IEEE TRANSACTIONS ON MOBILE COMPUTING,18,10.1109/TMC.2025.3604461,Article,,WOS:001658613500013,Q10
"Ma, YQ; Cheng, QF; Liu, ZQ; Luo, XY; Chen, XF",2PCLGA: Privacy-Preserving and Provable-Secure Certificateless Group Key Agreement Scheme for the Distributed Learning-Based MEC Networks,2026,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,0,10.1109/TDSC.2025.3632556,Article,,WOS:001714500400045,Q3
"Zhang, YL; He, F; Peng, LL; Yan, TY; Zhang, PP; Song, T; Du, LL; Chen, DJ",3D Segment Anything Model With Visual Mamba for Diagnosing Placenta Accreta Spectrum,2026,IEEE TRANSACTIONS ON IMAGE PROCESSING,0,10.1109/TIP.2026.3694185,Article,,WOS:001788864400005,Q4
"Arman, JH; Muhammad, F; Abdullah, M; Zulfiqar, A",6G communications: empowering the future with advanced AI and ML techniques,2026,TELECOMMUNICATION SYSTEMS,0,10.1007/s11235-026-01501-4,Review,,WOS:001861478600001,Q3
"Sahani, M; Sengupta, B",<sans-serif>Split-n-Chain</sans-serif>: Privacy-preserving multi-node split learning with blockchain-based auditability,2026,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,0,10.1007/s10586-026-06142-5,Article,,WOS:001807242800016,Q3
"Chen, ZZ; Dong, WR; Liu, KY; Cheng, Q; Shinohara, H; Sato, T",A 236-nW LFSR-Based Asymmetric Clonable PUF Group With Peer-to-Peer Response Equivalence,2026,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,0,10.1109/TCSI.2026.3705450,Article,,WOS:001817313500001,Q3
"Lin, LH; Fu, ZS; Chen, PS; Yang, BY; Yang, CH",A 4.8-mW Hybrid Crypto SoC With Post-Quantum Cryptography and Lightweight Cryptography for Secure Neural Interfacing,2026,IEEE JOURNAL OF SOLID-STATE CIRCUITS,0,10.1109/JSSC.2025.3601376,Article,,WOS:001566812900001,Q5
"Zhang, WL; Li, XY; Ando, S; Xu, Z; Yoshioka, K",A 65-nm Compute-in-Read-Only-Memory Macro With Bidirectional Ternary Weight Storage and Sparsity-Aware Local Accumulation for 1.58-bit LLM Inference,2026,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,0,10.1109/TCSI.2026.3721732,Article; Early Access,,WOS:001850252400001,Q8
"Zhang, HC; Yu, WH; Zhao, ZY; Yang, ZZ; Un, KF; Yin, J; Martins, RP; Mak, PI",A 94.8-nW Battery-Free Intelligent Silicon Platform for Distributed Multimodal Sensing With Adaptive and Event-Driven Computing,2026,IEEE JOURNAL OF SOLID-STATE CIRCUITS,0,10.1109/JSSC.2026.3656981,Article,,WOS:001682810400001,Q10
"Shan, J; Yin, JA; Qi, FL; Hu, MH",A Benchmark and Physics-Informed Optimization of LoRA for SAR Target Recognition,2026,IEEE ACCESS,0,10.1109/ACCESS.2026.3709540,Article,,WOS:001828129500004,Q8
"Gao, D; Zhao, HB",A Big Data-Driven Knowledge Framework for Supply Chain Risk Prediction and Performance Optimization in Multinational Corporations,2026,INTERNATIONAL JOURNAL OF KNOWLEDGE MANAGEMENT,1,10.4018/IJKM.402393,Article,,WOS:001707067000002,Q3
"Al-Khatib, O; Nassreddine, G; El Arid, A; Elkhouly, A; Nassereddine, M",A Blockchain-Based Framework for Secure Healthcare Data Transfer and Disease Diagnosis Using FHM C-Means and LCK-CMS Neural Network,2026,SCI,0,10.3390/sci8010013,Article,,WOS:001671220900001,Q3
"de Faria, AJ; Brito, JMC; Spadoti, DH; Borges, RM",A Broader Survey on 6G Radio Resource Management,2026,SENSORS,1,10.3390/s26082497,Review,,WOS:001750429800001,Q3
"Wang, JB; Wang, RJ; Li, ZP; Zhang, FL; Li, JW; Li, X",A Byzantine-Robust Secure Federated Learning Scheme in Heterogeneous Data,2026,IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,0,10.1109/TIFS.2026.3714122,Article,,WOS:001848065500003,Q3
"Lin, N",A CNN-BiGRU-GNN Model for Sentiment Analysis of Complex English Texts,2026,JOURNAL OF ADVANCED COMPUTATIONAL INTELLIGENCE AND INTELLIGENT INFORMATICS,0,10.20965/jaciii.2026.p0144,Article,,WOS:001782100700013,Q9
"Hu, YT; Li, HR; Xu, QH; Lin, YX; Shi, JH; Shen, J; Xu, Y; Dou, XY",A CNN-injected transformer network with lesion reconstruction for multi-view diabetic retinopathy grading,2026,MEDICAL IMAGE ANALYSIS,0,10.1016/j.media.2026.104178,Article,,WOS:001821920100001,Q4
"Qin, JT",A Case Study in Bridging Art and Technology : Developing an Oil Painting Color Digital Analysis and Simulation System,2026,JOURNAL OF CASES ON INFORMATION TECHNOLOGY,0,10.4018/JCIT.400755,Article,,WOS:001704505600004,Q5
"Xu, Q; Zhao, ZH; Liu, WW; Fang, Y; Tang, WJ; Zhou, Y; Zhu, K; Xiang, H; Luo, Y",A Character-level Convolutional Recurrent Interaction Network for joint traditional Chinese medicine clinical named entity recognition and relation extraction,2026,ARTIFICIAL INTELLIGENCE IN MEDICINE,0,10.1016/j.artmed.2026.103372,Article,,WOS:001695281800001,Q9
"Shi, L; Wu, H; Ding, X; Xu, H; Pan, SA",A Client-Level Conditional Generative Adversarial Network-Based Data Reconstruction Attack and Its Defense in Clustered Federated Learning Scenario,2026,IEEE INTERNET OF THINGS JOURNAL,1,10.1109/JIOT.2025.3637061,Article,,WOS:001669243400016,Q10
"Shi, ZQ; Cheng, HL; Qi, ZR; Shan, CJ; Taub, CC; Ouyang, D; Lee, C; Chen, RY; Du, Y; Weng, HX; Chen, YD; Qian, SN; Guo, GJ; Wang, XX; Xu, D; Luo, SH; Yao, J","A Clinically Interpretable Artificial Intelligence System for Real-Time Quality Control of Transthoracic Echocardiography: Development, Validation, and Deployment",2026,JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,1,10.1016/j.echo.2026.06.007,Article,,WOS:001867508700001,Q5
"Ghosh, S; Bhuvanakantham, R; Sindhujaa, P; Harishita, PB; Mohan, A; Gulyás, B; Máthé, D; Padmanabhan, P",A Cloud-Aware Scalable Architecture for Distributed Edge-Enabled BCI Biosensor System,2026,BIOSENSORS-BASEL,1,10.3390/bios16030157,Article,,WOS:001725804700001,Q5;Q10
"Chen, TT",A Communication-Reduced Privacy-Preserving ViT Inference Framework for Distributed Edge Intelligence,2026,EAI ENDORSED TRANSACTIONS ON SCALABLE INFORMATION SYSTEMS,0,10.4108/eetsis.13362,Article,,WOS:001853760300002,Q10
"Ding, HL; Li, JF",A Comparative Evaluation of Deep Learning and Rule-Based Models for Sentiment Analysis of 5G/6G Public Discourse on Social Media,2026,BIG DATA AND COGNITIVE COMPUTING,0,10.3390/bdcc10070216,Article,,WOS:001832301300001,Q8
"Gómez-Navalón, J; Pan, RH; Bernal-Beltrán, T; García-Díaz, JA; Valencia-García, R",A Comparative Study of Audio-Language Models for Speech Emotion Recognition in Spanish,2026,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,0,10.32604/cmes.2026.085437,Article,,WOS:001840307900001,Q8
"AL Ibaisi, T; Kuhn, S; Kazim, M; Kara, I; Altindag, T; Rehman, MU",A Comparative Study of Federated Learning and Amino Acid Encoding with IoT Malware Detection as a Case Study,2026,BIG DATA AND COGNITIVE COMPUTING,0,10.3390/bdcc10040111,Article,,WOS:001749851500001,Q3
"Wang, Q; Ibrahim, S; Wang, L; Idrus, Z",A Comparative Study of Federated and Centralised Learning for Waste Classification with Non-IID Data,2026,INTERNATIONAL JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING SYSTEMS,0,,Article,,WOS:001760944300003,Q3
"Jabbar, A; Nadeem, MJ; Zain, M; Hussain, N; Qasim, A; Hafeez, M; Sidorov, G","A Comprehensive Comparative Study of Toxic Language Detection in Roman Urdu Using Hybrid Machine Learning, Deep Learning, and LoRA-Optimized Transformer Models",2026,INTERNATIONAL JOURNAL OF COMBINATORIAL OPTIMIZATION PROBLEMS AND INFORMATICS,0,10.61467/2007.1558.2026.v17i4.1528,Article,,WOS:001839178100008,Q1;Q8
"Salman, A; Salem, AA; Suppiah, MS; Ho, PWC; Sarimuthu, CR","A Comprehensive Review of Artificial Intelligence Techniques for Power Quality Improvement in Renewable Energy-Based Microgrids: Recent Trends, Challenges, and Future Directions",2026,COMPUTERS & ELECTRICAL ENGINEERING,2,10.1016/j.compeleceng.2026.111364,Article,,WOS:001820920000001,Q3
"Qasem, MH; Sariera, TMA; Alhumaid, K; Alshraah, SM; Mufleh, ASS; Chihaoui, N","A Comprehensive Review of Artificial Intelligence for Brain Tumor Analysis: Taxonomy, Robustness, and Open Challenges in Neuro-Oncology",2026,JOURNAL OF IMAGING,0,10.3390/jimaging12060228,Review,,WOS:001802561200001,Q3
"Kumar, A; Dhanka, S; Sharma, A; Sharma, A; Nain, M; Kumar, P; Gupta, AR; Bansal, J; Saxena, NK; Pant, R","A Comprehensive Review of Bias in AI, ML, and DL Models: Methods, Impacts, and Future Directions",2026,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,7,10.1007/s11831-025-10483-6,Review,,WOS:001633325100001,Q3
"Rai, SK; Song, H","A Comprehensive Review of Biodegradation, Upcycling, and Downstream Valorization Strategies Toward Plastic Circularity",2026,CHEMCATCHEM,1,10.1002/cctc.202501858,Review,,WOS:001772179800001,Q3
"Bhoyar, V; Patel, M","A Comprehensive Review of Deep Learning Approaches for Automated Detection, Segmentation, and Grading of Diabetic Retinopathy",2026,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,1,10.1007/s11831-025-10460-z,Review,,WOS:001629921700001,Q3
"Hameed, SS","A Comprehensive Review of IoT Attack Detection: Taxonomy, IoT-aware Evaluation, and Research Challenges",2026,ARO-THE SCIENTIFIC JOURNAL OF KOYA UNIVERSITY,0,10.14500/aro.12629,Review,,WOS:001781041700001,Q3
"Acharya, K; Song, HB","A Comprehensive Review of Neuro-symbolic AI for Robustness, Uncertainty Quantification, and Intervenability",2026,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,10,10.1007/s13369-025-10887-3,Review,,WOS:001632360300001,Q5
"Ullegaddi, A; Mohan, SC; Mahmoodian, M; Chan, RWK; Sidiq, A",A Comprehensive Review of Reinforcement Learning Applications in Health Monitoring of Civil Infrastructures,2026,STRUCTURAL CONTROL & HEALTH MONITORING,0,10.1155/stc/2940743,Review,,WOS:001823122300001,Q3
"Kundu, S; Patkar, SS; Mishra, SM; Trivedi, G; Merchant, F","A Comprehensive Review of Tsetlin Machines: Concepts, Applications, Analysis, and the Future",2026,IEEE INTERNET OF THINGS JOURNAL,2,10.1109/JIOT.2026.3665145,Article,,WOS:001760393300027,Q3
"Shi, XH; He, JJ; Li, XF; Toda, T",A Comprehensive Study on the Effectiveness of ASR Representations for Noise-Robust Speech Emotion Recognition,2026,IEEE TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING,2,10.1109/TASLPRO.2026.3654273,Article,,WOS:001673807600001,Q4
"Alhazmi, A","A Comprehensive Survey of AI/ML-Driven Optimization, Predictive Control, and Innovative Solar Technologies",2026,ENERGIES,3,10.3390/en19081847,Review,,WOS:001749520600001,Q3
"Cai, ZP; Pang, JJ; Li, YS; Huang, Y; Xie, ZZ",A Comprehensive Survey of Federated Open-World Learning,2026,IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING,3,10.1109/TNSE.2025.3582580,Review,,WOS:001652223100003,Q3
"Ahmed, AM; Sadiq, AT; Farhan, AK; Ahmad, M; Shakeel, MR","A Comprehensive Survey of Lightweight Large Language Models: Architectures, Techniques, and Challenges",2026,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,0,10.1007/s11831-026-10656-x,Review; Early Access,,WOS:001787330600001,Q8
"Essahraui, S; Lamaakal, I",A Comprehensive Survey of TinyML-Based Biometric Recognition for IoT Edge Devices,2026,IEEE INTERNET OF THINGS JOURNAL,5,10.1109/JIOT.2026.3656932,Article,,WOS:001709147500022,Q3
"Kumar, AS; Ramnathan, M; Hati, A; Palanisamy, P","A Comprehensive Survey of Traditional, Machine Learning, Deep Learning, and Federated Learning Methods for Multimodal Autism Spectrum Disorder Diagnosis",2026,"ADVANCED COMPUTING AND COMMUNICATIONS: TECHNOLOGIES FOR A SUSTAINABLE FUTURE, ADCOM 2025",0,10.1007/978-3-032-26269-1_13,Proceedings Paper,,WOS:001840438500013,Q3
"Razi, Q; Singh, S; Priyadarshini, R; Hassija, V; Chalapathi, GSS","A Comprehensive Survey on Data Distillation: Techniques, Frameworks, and Future Directions",2026,IEEE INTERNET OF THINGS JOURNAL,2,10.1109/JIOT.2025.3633710,Article,,WOS:001669260200044,Q3
"Khan, U; Cheng, DS; Setti, F; Fummi, F; Cristani, M; Capogrosso, L",A Comprehensive Survey on Deep Learning-based Predictive Maintenance,2026,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,12,10.1145/3732287,Article,,WOS:001736620700014,Q3
"Ammari, M; Ammari, F; Boumahdi, A","A Conceptual Framework for Semantic Indexing of Data Sources Based on Structured Peer-to-Peer Model, Hilbert Curve, Hypercube and Data Analysis",2026,DATA,0,10.3390/data11050105,Article,,WOS:001775274700001,Q3
"Xinyuan, C; Ismail, S; Bakar, NWA",A Confidence-Aware Ensemble Drug-Target Interactions Prediction Model With Efficient Adapters,2026,APPLIED RESEARCH,0,10.1002/appl.70079,Article,,WOS:001707462900001,Q4
"Dai, YM; Tan, R",A Continuous-Time On-Device Federated Learning Network,2026,IEEE TRANSACTIONS ON NETWORKING,0,10.1109/TON.2026.3650762,Article,,WOS:001669212700001,Q3;Q10
"He, YT; Shang, QL; Huang, XM; Liu, JL; Yuan, K",A Convergence-Motivated Learning-to-Optimize Framework for Decentralized Optimization,2026,IEEE TRANSACTIONS ON SIGNAL PROCESSING,1,10.1109/TSP.2025.3644008,Article,,WOS:001687321200005,Q3
"Mei, YT; Duan, YC; Wu, KG; Li, YB",A DIKWP white-box semantic distributed learning approach for resource-constrained edge devices in web environments,2026,INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS,1,10.1108/IJWIS-06-2025-0142,Article,,WOS:001620905800001,Q10
"Alevcan, V; Ali, MF; Tsado, Y; Atal, S; Correia, P; Ntantogian, C; Adebisi, B; Campos, LM",A Decentralized Federated WGAN-GP Framework for Anomaly Detection in Industrial Control Systems,2026,IEEE ACCESS,0,10.1109/ACCESS.2026.3704897,Article,,WOS:001808950900034,Q3
"Zanatta, RC; Vanzin, VJB; Matos, SN; Garcia, RD; Moreira, DA; Ueyama, J",A Decentralized Learning Architecture for Medical Prescription Anomaly Detection via Hybrid Federated-Swarm Learning,2026,IEEE LATIN AMERICA TRANSACTIONS,0,10.1109/TLA.2026.11613856,Article,,WOS:001824272900008,Q3
"Lu, Y; Han, SY; Zhou, ZL; Yang, ZF; Zhang, GW; Jin, SH; Jiang, XH; Xu, ML",A Deep Cross-modal Prompt Learning Network for Artificial Intelligence Generated Image Quality Assessment,2026,DISPLAYS,0,10.1016/j.displa.2025.103208,Article,,WOS:001582821100001,Q4;Q8
"Ata, A; Lota, S; Kozak, K",A Dependable Explainable NLP Framework for Clinical Personality Trait and Subtype Analysis,2026,"DEPENDABLE COMPUTER SYSTEMS: METHODS, MODELS, AND APPLICATIONS, DEPCOS-RELCOMEX, 2026",0,10.1007/978-3-032-27927-9_2,Proceedings Paper,,WOS:001833852900002,Q1
"Yüksek, AG",A Deployment-Oriented Tiny Machine Learning Framework for Strawberry Ripeness Classification Under Limited Data and Resource Constraints,2026,APPLIED FRUIT SCIENCE,0,10.1007/s10341-026-01839-8,Article,,WOS:001758182100002,Q5
"Gong, C; Zheng, ZZ; Wu, F; Chen, GH",A Device-Cloud Collaborative Data Enrichment Framework for Continual Learning on Devices,2026,IEEE TRANSACTIONS ON NETWORKING,0,10.1109/TON.2026.3670132,Article,,WOS:001737486100002,Q3
"Wang, SZ; Liu, Y; Zhang, XX; Hu, LT; Qian, C",A Distributed Learned Hash Table,2026,IEEE TRANSACTIONS ON NETWORKING,0,10.1109/TON.2026.3664088,Article,,WOS:001696503700008,Q3
"Shen, MF; Song, KQ; Wang, XD; Jia, W; Wang, T; Han, ZQ",A Domain-Adapted Pipeline for Structured Information Extraction from Police Incident Announcements on Social Media,2026,INFORMATION PROCESSING & MANAGEMENT,0,10.1016/j.ipm.2026.104788,Article,,WOS:001747448400001,Q8
"Tong, Y; Zhou, ZJ; Hu, KF; Yang, T; Kaup, A; Li, X",A Dual Domain Collaborative Network for Polyp Segmentation,2026,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,1,10.1109/JBHI.2025.3649384,Article,,WOS:001841836400006,Q3
"Zhang, ZY; Feng, Q",A Dual-Side Synergistic LoRA Framework for Full-Chain Fine-Tuning of Qwen2.5-VL for Plant Disease Diagnosis,2026,PLANTS-BASEL,0,10.3390/plants15131932,Article,,WOS:001818527000001,Q8
"Huang, XX; Ren, ZH; Wang, N; Lin, WH; Xu, JJ; Ni, YQ",A FINE-TUNED LARGE LANGUAGE MODEL APPROACH FOR COMPOUND INFORMATION EXTRACTION,2026,MATHEMATICAL FOUNDATIONS OF COMPUTING,0,10.3934/mfc.2026006,Article,,WOS:001689605500002,Q8
"Alsofyani, M; Alturaiki, I; Mathkour, H",A Fairness Perspective on Client Selection and Aggregation Methods for Non-IID Mitigation in Federated Learning: A Survey,2026,ELECTRONICS,0,10.3390/electronics15143178,Review,,WOS:001831862500001,Q3
"Dong, H; Wang, HQ; Lv, MJ; Fan, WB",A Fast Intermittent Fault Diagnosis Algorithm for a Class of Data Center Networks,2026,IEEE TRANSACTIONS ON COMPUTERS,0,10.1109/TC.2026.3654522,Article,,WOS:001717547600026,Q3
"Trigkas, A; Piromalis, D; Papageorgas, P",A Federated Approach for Adaptive Urban Sound Classification on TinyML Edge Devices,2026,SENSORS,0,10.3390/s26092854,Article,,WOS:001763953500001,Q10
"Nallakaruppan, MK; Dhanaraj, RK; Shukla, S; Krishnamoorthi, S; Kaushal, RK; Goyal, MK; Basheer, S; Quasim, MT",A Federated Autoencoder Framework With Explainable AI for Intelligent 6G-IoT Infrastructure Optimization,2026,IEEE INTERNET OF THINGS JOURNAL,5,10.1109/JIOT.2025.3606232,Article,,WOS:001696600200011,Q3
"Gyamfi, E; Ansere, JA; Kamal, M; Jan, MA; Song, HB; Tariq, M",A Federated Blockchain Security for MEC-Enabled IoT Networks in Industrial 5.0,2026,IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING,0,10.1109/TNSE.2025.3640426,Article,,WOS:001662938600008,Q3
"Amato, A",A Federated Deep Learning Framework for Sleep-Stage Monitoring Using the ISRUC-Sleep Dataset,2026,APPLIED SCIENCES-BASEL,0,10.3390/app16021073,Article,,WOS:001670107800001,Q3
"Ghourabi, A; Khaldi, K",A Federated Ensemble Learning Framework for Distributed Fraud Detection,2026,APPLIED SCIENCES-BASEL,0,10.3390/app16094508,Article,,WOS:001763271500001,Q3
"Reshmi, BM; Anvesh, K; Prashanth, SKR; Ishverya, T; Karthikeyan, R; Kannan, S",A Federated Faster R-CNN Framework With Contour Detection and Grad-CAM for Interpretable Multi-Class Retinal Disease Diagnosis in Fundus Images,2026,IET IMAGE PROCESSING,0,10.1049/ipr2.70383,Article,,WOS:001769826500001,Q3
"Manchanda, R; Kumar, V; Alsulamy, S; Adhyaru, YB; Reddy, KLR; Verma, SK; Panda, JK",A Federated Graph-Physics-Informed Digital Twin Framework for Sustainable Smart Building Energy Management Supporting SDG-7 and SDG-11,2026,INTERNATIONAL JOURNAL OF ENERGY RESEARCH,0,10.1155/er/5653868,Article,,WOS:001812704800001,Q3;Q10
"Khandakar, A; Michelson, DG; Hossain, MM; Rabbani, SG; Ahamed, MF; Ayari, MA",A Federated Learning Approach for Scalable Road Condition Detection in Connected Vehicles,2026,IEEE OPEN JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS,0,10.1109/OJITS.2026.3670716,Article,,WOS:001717526500001,Q3
"Ahmmed, MS; Isanaka, SP; Liou, F",A Federated Learning Framework for Data-Sovereign Predictive Maintenance in Distributed Smart Manufacturing,2026,APPLIED SCIENCES-BASEL,0,10.3390/app16105084,Article,,WOS:001774273600001,Q3
"Kumar, V; Niazi, MA; Sajid, Q; Koondhar, MA; Kim, YS; Zainuri, MAAM; Alkoradees, AF",A Federated Learning Framework for Proactive Congestion Management in Blockchain-Based P2P Energy Markets,2026,IEEE ACCESS,3,10.1109/ACCESS.2026.3669942,Article,,WOS:001714484200001,Q3
"Tian, JF; Xu, TF; Zhu, Q",A Federated Learning Framework with Blockchain and Cache Pools for Unreliable Devices in a Cloud-Edge-End Environment,2026,"COLLABORATIVE COMPUTING: NETWORKING, APPLICATIONS AND WORKSHARING, COLLABORATECOM 2024, PT III",0,10.1007/978-3-031-93257-1_14,Proceedings Paper,,WOS:001594493500014,Q3
"Ilias, L; Doukas, G; Lamprou, V; Mouzakitis, S; Ntanos, C; Askounis, D",A Federated Learning-Based Network Intrusion Detection System for 5G and IoT Using Mixture of Experts,2026,ELECTRONICS,2,10.3390/electronics15051057,Article,,WOS:001713488000001,Q3
"Niro, F; Di Renzo, M; Agnello, P; Petyx, M; Martinelli, F; Maddalena, M; Cesarelli, M; Santone, A; Mercaldo, F",A Federated Machine Learning Approach for the Detection and Visualisation of Eye Diseases Using Activation Maps,2026,SENSORS,0,10.3390/s26165288,Article,,WOS:001860088700001,Q3
"Javeri, VS; Zhu, RQ; Li, K; Hou, LQ",A Federated Metadata Architecture for Scalable Governance in Lakehouse-Based AI Platforms,2026,SOUTHEASTCON 2026,0,10.1109/SOUTHEASTCON63549.2026.11476430,Proceedings Paper,,WOS:001832498200290,Q3
"Wang, CS; Yu, JL; Xu, MY; Qian, MS; Wang, SL",A Federated Multiscale Diagnostic Strategy for Bearing Compound Faults With Dynamic Privacy Preservation,2026,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,0,10.1109/TIM.2025.3643056,Article,,WOS:001658637700012,Q3
"Akand, AR; Nipu, MMHB; Das, I; Ali, G; Hossain, A; Faisal, FS",A Federated and Explainable Machine Learning Framework for Robust Intrusion Detection and Network Security Enhancement in Industrial Internet of Things (IIoT) Environments,2026,"2026 5TH INTERNATIONAL CONFERENCE ON ELECTRICAL, COMPUTER & TELECOMMUNICATION ENGINEERING, ICECTE",0,10.1109/ICECTE69292.2026.11429379,Proceedings Paper,,WOS:001782900200198,Q3
"Nurchim; Muljono; Noersasongko, E; Fanani, AZ; Dewi, DA",A Few-Shot Semantic Meta-Learning Framework with CRF for Skill Entity Recognition in Open Innovation Ecosystems,2026,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,0,,Article,,WOS:001690453200001,Q9
"Maminta, CJG; Enriquez, IJ; Nuñez, DN; Dela Fuente, MB",A Filipino-Optimized Large Language Model,2026,"NOVEL AND INTELLIGENT DIGITAL SYSTEMS: PROCEEDINGS OF THE 5TH INTERNATIONAL CONFERENCE, NIDS 2025, VOL I",0,10.1007/978-3-032-06634-3_21,Proceedings Paper,,WOS:001666781900021,Q8;Q9
"Zhang, XY; Zheng, XW; Li, Z; Ma, MJ; Liang, X; Ren, XX; Zhang, MZ",A Fine-tuning Multimodal Large Language Model for Endoscopic Report Generation,2026,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,1,10.1016/j.bspc.2026.109737,Article,,WOS:001683932300001,Q8
"Chen, BX; Wang, YP; Santos, L; Yang, X; Liu, C; Im, SK",A Four-Paradigm Taxonomy and Systematic Survey of Blockchain-Enabled Intrusion Detection Systems for IoT and IIoT,2026,IEEE INTERNET OF THINGS JOURNAL,1,10.1109/JIOT.2026.3662349,Article,,WOS:001760393300003,Q3
"Choi, W; Jang, JS",A Fully Automated Deep Learning Pipeline for Anatomical Landmark Localization on Three-Dimensional Pelvic Surface Scans,2026,SENSORS,0,10.3390/s26061760,Article,,WOS:001726207200001,Q5
"Wei, SH; Wu, ZJ; Shahidehpour, M; Xu, JJ; Hu, QR",A Gaussian Belief Propagation-Based Cyber-Attack Detection Approach for State Estimation Model in Unbalanced Distribution Networks,2026,IEEE TRANSACTIONS ON SMART GRID,1,10.1109/TSG.2026.3654234,Article,,WOS:001801647200026,Q10
"Liu, YH; Wen, Y; Yang, LZ; He, LH; Zhou, MC",A General Framework for Efficient Medical Image Analysis via Shared Attention Vision Transformer,2026,IEEE TRANSACTIONS ON MEDICAL IMAGING,2,10.1109/TMI.2025.3644949,Article,,WOS:001760366200049,Q1
"Di Gennaro, G; Buonanno, A; Romano, G; Buzzi, S; Palmieri, FAN",A General Framework for Scalable UE-AP Association in User-Centric Cell-Free Massive MIMO Based on Recurrent Neural Networks,2026,IEEE TRANSACTIONS ON COMMUNICATIONS,2,10.1109/TCOMM.2025.3650392,Article,,WOS:001663383500005,Q3
"Thousif, M; Velhal, S; Sundaram, S; Dora, S; Sundararajan, N",A Generalizable Decentralized Sequential Assignment Learning Spiking Neural Network for a Perimeter Defense Problem,2026,IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,0,10.1109/TAES.2026.3661505,Article,,WOS:001735960500024,Q3
"Tseng, MH; Chen, YC; Chen, WT",A Generative AI Architecture Integrating Retrieval-Augmented Generation and Low-Rank Adaptation for Knowledge-Intensive Medical Reasoning,2026,FUTURE INTERNET,0,10.3390/fi18060280,Article,,WOS:001803444400001,Q8
"Li, ZH; Dai, HJ",A Generative Large Language Model-based Approach for Sensitive Data Identification in Medical Speech,2026,"LARGE LANGUAGE MODELS FOR AUTOMATIC DEIDENTIFICATION OF SENSITIVE HEALTH INFORMATION IN CLINICAL SPEECH, 2025 IW-DMRN",0,10.1007/978-981-92-2282-7_9,Proceedings Paper,,WOS:001828383800009,Q8;Q9
"Zhang, CM; Li, JY; Liu, SL; Xu, XQ; Li, YJ",A Graph Neural Network-Based State Perception Model for Digital Twin Power Grids,2026,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,0,10.1142/S0218001425500430,Article,,WOS:001665716800001,Q3
"Yang, RX; Liang, LY",A Hardware-Aware Efficient LLM for Multimedia Understanding via Dynamic Rank Adaptation and Structured Pruning,2026,IEEE ACCESS,0,10.1109/ACCESS.2026.3654646,Article,,WOS:001673800400044,Q8
