blind_id,title,authors,year,venue,abstract,second_screener_decision,second_screener_notes
S011,Distributed Inference Software for Large Language Models,Harshavardhan M G; P. Raj; Rishith P; Vasugi I,2025,2025 International Conference on Advances in Next-Gen Computer Science (ICANCS),"Large Language Models (LLMs) such as LLaMA and BLOOM have revolutionized natural language processing by enabling advanced applications like dialogue systems, summarization, and reasoning. However, their extensive computational demands in terms of GPU memory, processing power, and bandwidth make them unsuitable for execution on consumer-grade or low-resource devices. Current solutions often rely on centralized cloud APIs, which introduce privacy risks, high costs, and dependency on external infrastructure. To overcome these limitations, this research proposes a distributed inference framework that partitions LLMs layer-wise across multiple devices connected via a trusted local network. Each device, acting as either a client or server, contributes according to its computational capacity. Servers host subsets of model layers, while clients orchestrate inference by routing inputs across available servers. The system integrates Hivemind's decentralized hash table (DHT) built on libp2p for expert discovery, pipeline parallelism for distributed execution, 8-bit quantization for memory efficiency, and KV catching for fault tolerance. Evaluation results across LAN and internet environments validate feasibility, demonstrating that models like GPT-2 can be executed on consumer laptops with 4GB VRAM. This work highlights the potential for democratizing access to powerful AI capabilities through collaborative inference.",,
S012,Comparative Analysis and Optimization of LoRA Adapter Co-serving for Large Language Models,Jiaxuan Chen,2024,Middleware Demos/Posters/Doctoral Symposium,"Large language models (LLMs) are widely deployed across a range of applications, but their efficient use for serving diverse tasks remains a challenge due to the significant resource demands of running numerous specialized models. Parameter-efficient fine-tuning (PEFT) addresses this by allowing models to be adapted using only a small set of additional parameters, leaving the backbone model unchanged. The objective of this research is to develop a scheduling framework for parameter-efficient adapters that allows for the co-serving of both inference and fine-tuning tasks across multiple adapters, while sharing a single backbone model. By harnessing the benefits of parameter-efficient tuning, this approach minimizes the overhead associated with storing, loading, and running multiple task-specific models, thereby improving overall performance. To achieve this, we propose to conduct a comparative analysis of prior works evaluating their performance and resource management strategies in adapter-based serving. Through experiments, we assess the strengths and limitations of each approach, identifying opportunities for more efficient adapter and task management in future systems. This paper presents the problem, discusses the background of this early-stage project, and outlines a research plan for developing an efficient co-serving framework for LLM systems.",,
S013,AuLoRA: Fine-Grained Loading and Computation Orchestration for Efficient LoRA LLM Serving,"Xiao Shi, Jiangsu Du, Zhiguang Chen, and Yutong Lu",2025,2025 IEEE 43rd International Conference on Computer Design (ICCD),"LoRA is a widely used Parameter-Efficient FineTuning (PEFT) technique for customizing pre-trained backbone models to specific tasks. Serving a backbone model with numerous LoRA adapters, known as multi-tenant LoRA serving, is a common scenario where different users utilize distinct LoRA adapters while sharing the same backbone model. To support more LoRA adapters simultaneously and improve efficiency, existing solutions dynamically load adapters from host memory and separate workloads into batched backbone model computation and adapter computation. However, they introduce complex data dependencies and necessitate careful coordination of loading and computation to enhance efficiency. We introduce AuLoRA, a multi-tenant LoRA serving system that achieves fine-grained orchestration of adapter loading and computation alongside backbone model execution. It optimizes both Time-to-First-Token (TTFT) and throughput by: 1) layer-wise-priority LoRA adapter loading, which reorganizes adapter loading by layer, to perform inference before adapters are fully loaded and overlaps adapter loading with backbone computation. 2) Intra-layer pipelined LoRA adapter execution, which loads LoRA adapters and performs computation in a pipelined manner, further hiding the adapter loading overhead. 3) Dynamic LoRA adapter batching, which explores the optimal LoRA adapter batching plan by comprehensively considering kernel launch overhead and modern hardware parallelism, improving computational efficiency. We compare AuLoRA with S-LoRA, a state-of-the-art multi-tenant LoRA serving system, and the results show that AuLoRA can achieve up to $3.03 \times$ TTFT reduction and $1.27 \times$ throughput improvement.",,
S014,Edge-consensus Learning: Deep Learning on P2P Networks with Nonhomogeneous Data,"K. Niwa, N. Harada, Guoqiang Zhang, and W. Kleijn",2020,Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,"An effective Deep Neural Network (DNN) optimization algorithm that can use decentralized data sets over a peer-to-peer (P2P) network is proposed. In applications such as medical data analysis, the aggregation of data in one location may not be possible due to privacy issues. Hence, we formulate an algorithm to reach a global DNN model that does not require transmission of data among nodes. An existing solution for this issue is gossip stochastic gradient descend (SGD), which updates by averaging node models over a P2P network. However, in practical situations where the data are statistically heterogeneous across the nodes and/or where communication is asynchronous, gossip SGD often gets trapped in local minimum since the model gradients are noticeably different. To overcome this issue, we solve a linearly constrained DNN cost minimization problem, which results in variable update rules that restrict differences among all node models. Our approach can be based on the Primal-Dual Method of Multipliers (PDMM) or the Alternating Direction Method of Multiplier (ADMM), but the cost function is linearized to be suitable for deep learning. It facilitates asynchronous communication. The results of our numerical experiments using CIFAR-10 indicate that the proposed algorithms converge to a global recognition model even though statistically heterogeneous data sets are placed on the nodes.",,
S015,HEXGEN: Generative Inference of Large Language Model over Heterogeneous Environment,"Jiang Y., Yan R., Yao X., Zhou Y., Chen B., Yuan B.",2024,Proceedings of Machine Learning Research,"Serving generative inference of the large language model is a crucial component of contemporary AI applications. This paper focuses on deploying such services in a heterogeneous and cross-datacenter setting to mitigate the substantial inference costs typically associated with a single centralized datacenter. Towards this end, we propose HEXGEN, a flexible distributed inference engine that uniquely supports the asymmetric partition of generative inference computations over both tensor model parallelism and pipeline parallelism and allows for effective deployment across diverse GPUs interconnected by a fully heterogeneous network. We further propose a sophisticated scheduling algorithm grounded in constrained optimization that can adaptively assign asymmetric inference computation across the GPUs to fulfill inference requests while maintaining acceptable latency levels. We conduct an extensive evaluation to verify the efficiency of HEXGEN by serving the state-of-the-art LLAMA-2 (70B) model. The results suggest that HEXGEN can choose to achieve up to 2.3× lower latency deadlines or tolerate up to 4× more request rates compared with the homogeneous baseline given the same budget. Our implementation is available at https://github.com/Relaxed-System-Lab/HexGen. Copyright 2024 by the author(s)",,
S016,Binary video snapshot compressive imaging with multiscale fusion,"Ni J., Wang Z., Zhang F.",2025,Journal of Electronic Imaging,"Video snapshot compressive imaging (SCI) captures high-speed scenes as 2D snapshots using low-speed cameras and reconstructs high-speed video frames from compressed measurements. Although deep neural networks have recently demonstrated impressive performance in SCI reconstruction, their reliance on large memory and computational resources limits deployment on mobile devices with constrained hardware. To address this limitation, we propose BinarySCI, a compact and efficient network leveraging a binary neural network for video snapshot recovery in SCI systems. First, our BinarySCI network incorporates a lightweight multiscale fusion U-Net that reduces computational costs while mitigating quantization errors and enhancing feature fusion. Second, we propose an aware-enhanced scaled binary convolution module to address binarization-induced information loss by integrating scaled weight standardization, channel attention, and adaptive residual binarization mechanism. Finally, three customized binary convolution modules are developed to resolve dimensional mismatches and ensure seamless full-precision information flow, significantly enhancing reconstruction quality. Comprehensive experiments demonstrate that our BinarySCI outperforms existing binarization methods. © 2025 SPIE and IS&T.",,
S017,Towards Federated Low-Rank Adaptation of Language Models with Rank Heterogeneity,Y. Byun and Jaeho Lee,2024,North American Chapter of the Association for Computational Linguistics,"Low-rank adaptation (LoRA) offers an efficient alternative to full-weight adaptation in federated fine-tuning of language models, significantly reducing computational costs. By adjusting ranks for each client, federated LoRA enables flexible resource allocation. However, we observe that heterogeneous ranks among clients lead to unstable performance. Our analysis attributes this instability to the conventional zero-padding aggregation strategy, which dilutes information from high-rank clients during model aggregation. To address this issue, we propose a replication-based padding strategy that better retains valuable information from clients with high-quality data. Empirically, this approach accelerates convergence and enhances the global model's predictive performance.",,
S018,LLMGuard : Safeguarding Real-Time Inference for Large Language Models on Edge Devices,Yu Sun; Gaojian Xiong; Jianhua Liu; Ziqi Zhang,2026,ACM Transactions on Software Engineering and Methodology,"TEE-shielded secure inference offers an efficient solution to protect valuable edge-deployed models from potential thefts. Nevertheless, existing methods are lack of theoretical security analysis, failing to achieve the optimal security. Furthermore, while feasible for small models, existing methods are excessively heavyweight for Large Language Models (LLM). For LLaMA-7B, they introduce GB-level secure memory requirement and hundredfold inference latency, severely compromising real-time utility. To solve these problems, we first present a Bayesian theory framework of Model Stealing (MS) attacks, which decomposes MS into prior and posterior knowledge leakage. Based on this framework, LLMGuard is proposed, which presents two components: First, Intrinsic Parameters Shielding is designed to shield all private parameters, preventing prior knowledge leakage. This approach significantly decreases the secure memory usage and achieves inference speedup. Second, since OTP is not applicable to LLMs, Random Slices Composition is developed to obfuscate intermediate distributions with no computational overhead, minimizing posterior knowledge leakage efficiently. Experimental results demonstrate that LLMGuard downgrades model to black-box inference with negligible accuracy loss, while delivering \(43\times\) inference speedup on LLaMA compared to fully-shielded methods. The proposed LLMGuard effectively addresses concerns related to intellectual property theft on edge, boosting the secure deployment of LLMs on untrusted devices.",,
S019,"Adapt Once, Thrive with Updates: Transferable Parameter-Efficient Fine-Tuning on Evolving Base Models","Gu N., Fu P., Liu X., Ma K., Lin Z., Wang W.",2025,Proceedings of the Annual Meeting of the Association for Computational Linguistics,"Parameter-efficient fine-tuning (PEFT) has become a common method for fine-tuning large language models, where a base model can serve multiple users through PEFT module switching. To enhance user experience, base models require periodic updates. However, once updated, PEFT modules fine-tuned on previous versions often suffer substantial performance degradation on newer versions. Re-tuning these numerous modules to restore performance would incur significant computational costs. Through a comprehensive analysis of the changes that occur during base model updates, we uncover an interesting phenomenon: continual training primarily affects task-specific knowledge stored in Feed-Forward Networks (FFN), while having less impact on the task-specific pattern in the Attention mechanism. Based on these findings, we introduce Trans-PEFT, a novel approach that enhances the PEFT module by focusing on the task-specific pattern while reducing its dependence on certain knowledge in the base model. Further theoretical analysis supports our approach. Extensive experiments across 7 base models and 12 datasets demonstrate that Trans-PEFT trained modules can maintain performance on updated base models without re-tuning, significantly reducing maintenance overhead in real-world applications. © 2025 Association for Computational Linguistics.",,
S020,Parameter-efficient Multi-task Fine-tuning for Transformers via Shared Hypernetworks,"Rabeeh Karimi Mahabadi, Sebastian Ruder, Mostafa Dehghani, and James Henderson",2021,Annual Meeting of the Association for Computational Linguistics,"State-of-the-art parameter-efficient fine-tuning methods rely on introducing adapter modules between the layers of a pretrained language model. However, such modules are trained separately for each task and thus do not enable sharing information across tasks. In this paper, we show that we can learn adapter parameters for all layers and tasks by generating them using shared hypernetworks, which condition on task, adapter position, and layer id in a transformer model. This parameter-efficient multi-task learning framework allows us to achieve the best of both worlds by sharing knowledge across tasks via hypernetworks while enabling the model to adapt to each individual task through task-specific adapters. Experiments on the well-known GLUE benchmark show improved performance in multi-task learning while adding only 0.29% parameters per task. We additionally demonstrate substantial performance improvements in few-shot domain generalization across a variety of tasks. Our code is publicly available in https://github.com/rabeehk/hyperformer.",,
S021,"Idle Consumer GPUs as a Complement to Enterprise Hardware for LLM Inference: Performance, Cost and Carbon Analysis",de Almeida A.R.,2026,AIBC 2025 - 2025 6th International Artificial Intelligence and Blockchain Conference,"We examine the cost-performance landscape of Large Language Model (LLM) inference across two GPU tiers: Nvidia’s enterprise-class H100 and the widely available consumer-grade RTX 4090. We benchmark latency, tokens per second, and cost per million tokens for models spanning 1.5 billion to 70 billion parameters, then zoom in on a 14 billion parameter model for a detailed comparison. H100s deliver up to 1.5× throughput and sub-55 ms tail latencies, yet 4090 clusters provide up to 75% lower token cost for batched or latency-tolerant workloads. We describe how quantization (GPTQ/AWQ), modern serving stacks (vLLM, SGLang), and Petals-style distributed execution enable consumer GPUs to push beyond on-board memory limits, with moderate latency tradeoffs. From a sustainability perspective, we show that H100s can be roughly 3.1× more energy-efficient per token, and how this edge narrows on low-carbon grids or when tapping otherwise-idle consumer hardware. We conclude that hybrid routing traffic to enterprise GPUs and to consumer pools can offer a pragmatic blend of performance, cost, and sustainability, based on Service Level Objectives (SLOs). The open benchmarks and cost models aim to guide practitioners in building heterogeneous GPU stacks for scalable, economical, and greener LLM services. © 2025 Copyright held by the owner/author(s)",,
S022,AFedLF: Adaptive Layer Freezing of Foundation Models in Heterogeneous Federated Learning,Yue Zeng; Jie Zhang; Song Guo; Baoliu Ye,2026,IEEE Transactions on Mobile Computing,"The rise of pre-trained foundation models (FMs) has popularized the trend of fine-tuning FMs to fit downstream tasks, while Federated Learning (FL) has become the de-facto approach for training distributed data with privacy-preservation. However, fine-tuning FMs in FL faces overwhelming overheads due to its bulky nature. While freezing parameters in FM have the potential to accelerate FL training, existing freezing strategies statically freeze parameters on specified or already converged layers, incur severe accuracy degradation, and resource-inefficiency in heterogeneous environments. In this paper, we propose AFedLF, an adaptive freezing framework for FM in FL, to accelerate its wall-clock time for convergence without losing its final accuracy. However, this poses great challenges, as different freezing strategies lead to different accuracy gains and time overheads, while unfreezing more layers may bring marginal accuracy gains but significant time overheads. To address this challenge, AFedLF mathematically establishes a correlation between the freezing strategy and the accuracy gain and time overhead, and allocates adaptive freezing strategies to clients, based on our insight that unfreezing more layers on devices with strong computation and communication capabilities helps improve resource efficiency. Besides, AFedLF incorporates our well-designed intermediate result caching scheme with constant approximation ratios utilizing the limited storage capacity on mobile devices to cache intermediate results to skip forward propagation, further saving wall-clock time. Finally, we implemented AFedLF using an open-source FL benchmark, and extensive trace-driven experimental results showed that AFedLF accelerates wall-clock time by up to 6.1× compared to state-of-the-art solutions, without sacrificing accuracy.",,
S023,Federated Fine-Tuning on Heterogeneous Devices with Adaptive Quantization and LoRA Depths,Qianshu Wang et al.,2025,2025 IEEE 31th International Conference on Parallel and Distributed Systems (ICPADS),"Federated fine-tuning (FedFT) has become a decentralized approach for fine-tuning pre-trained large language models(LLMs). However, due to the immense size of LLMs, there are two critical challenges for efficient FedFT in practice, i.e., resource constraints and system heterogeneity. Though existing approaches employ low-rank adaptation (LoRA) method, to mitigate fine-tuning overhead, they still suffer from high memory consumption and large training latency. According to the characteristics of FedFT, we observe that appropriate quantization and LoRA configurations can reduce resource consumption while maintaining comparable model performance. Consequently, we propose an efficient FedFT framework, termed FedQLoRA, which dynamically adjusts the quantization level and LoRA depth during training. This design enables large models to be fine-tuned on resource-limited devices while reducing training latency and preserving model performance. Extensive experimental results demonstrate that FedQLoRA achieves up to 70.34% reduction in training time and $62.71 \%-77.50 \%$ savings in memory consumption compared to baseline methods.",,
S024,Memory Efficient Continual Learning with Transformers,"B. Ermiş, Giovanni Zappella, Martin Wistuba, Aditya Rawal, and C. Archambeau",2022,Advances in Neural Information Processing Systems 35,"In many real-world scenarios, data to train machine learning models becomes available over time. Unfortunately, these models struggle to continually learn new concepts without forgetting what has been learnt in the past. This phenomenon is known as catastrophic forgetting and it is difficult to prevent due to practical constraints. For instance, the amount of data that can be stored or the computational resources that can be used might be limited. Moreover, applications increasingly rely on large pre-trained neural networks, such as pre-trained Transformers, since the resources or data might not be available in sufficiently large quantities to practitioners to train the model from scratch. In this paper, we devise a method to incrementally train a model on a sequence of tasks using pre-trained Transformers and extending them with Adapters. Different than the existing approaches, our method is able to scale to a large number of tasks without significant overhead and allows sharing information across tasks. On both image and text classification tasks, we empirically demonstrate that our method maintains a good predictive performance without retraining the model or increasing the number of model parameters over time. The resulting model is also significantly faster at inference time compared to Adapter-based state-of-the-art methods.",,
S025,"IPFS - Content Addressed, Versioned, P2P File System",J. Benet,2014,ArXiv,"The InterPlanetary File System (IPFS) is a peer-to-peer distributed file system that seeks to connect all computing devices with the same system of files. In some ways, IPFS is similar to the Web, but IPFS could be seen as a single BitTorrent swarm, exchanging objects within one Git repository. In other words, IPFS provides a high throughput content-addressed block storage model, with content-addressed hyper links. This forms a generalized Merkle DAG, a data structure upon which one can build versioned file systems, blockchains, and even a Permanent Web. IPFS combines a distributed hashtable, an incentivized block exchange, and a self-certifying namespace. IPFS has no single point of failure, and nodes do not need to trust each other.",,
S026,KronA: Parameter Efficient Tuning with Kronecker Adapter,A. Edalati et al.,2022,ArXiv,"Fine-tuning a Pre-trained Language Model (PLM) on a specific downstream task has been a well-known paradigm in Natural Language Processing. However, with the ever-growing size of PLMs, training the entire model on several downstream tasks becomes very expensive and resource-hungry. Recently, different Parameter Efficient Tuning (PET) techniques are proposed to improve the efficiency of fine-tuning PLMs. One popular category of PET methods is the low-rank adaptation methods which insert learnable truncated SVD modules into the original model either sequentially or in parallel. However, low-rank decomposition suffers from limited representation power. In this work, we address this problem using the Kronecker product instead of the low-rank representation. We introduce KronA, a Kronecker product-based adapter module for efficient fine-tuning of Transformer-based PLMs. We apply the proposed methods for fine-tuning T5 on the GLUE benchmark to show that incorporating the Kronecker-based modules can outperform state-of-the-art PET methods.",,
S027,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,Dmitry Lepikhin et al.,2020,International Conference on Learning Representations,"Neural network scaling has been critical for improving the model quality in many real-world machine learning applications with vast amounts of training data and compute. Although this trend of scaling is affirmed to be a sure-fire approach for better model quality, there are challenges on the path such as the computation cost, ease of programming, and efficient implementation on parallel devices. GShard is a module composed of a set of lightweight annotation APIs and an extension to the XLA compiler. It provides an elegant way to express a wide range of parallel computation patterns with minimal changes to the existing model code. GShard enabled us to scale up multilingual neural machine translation Transformer model with Sparsely-Gated Mixture-of-Experts beyond 600 billion parameters using automatic sharding. We demonstrate that such a giant model can efficiently be trained on 2048 TPU v3 accelerators in 4 days to achieve far superior quality for translation from 100 languages to English compared to the prior art.",,
S028,D2: Decentralized Training over Decentralized Data,"Hanlin Tang, Xiangru Lian, Ming Yan, Ce Zhang, and Ji Liu",2018,International Conference on Machine Learning,"While training a machine learning model using multiple workers, each of which collects data from their own data sources, it would be most useful when the data collected from different workers can be {\em unique} and {\em different}. Ironically, recent analysis of decentralized parallel stochastic gradient descent (D-PSGD) relies on the assumption that the data hosted on different workers are {\em not too different}. In this paper, we ask the question: {\em Can we design a decentralized parallel stochastic gradient descent algorithm that is less sensitive to the data variance across workers?} In this paper, we present D$^2$, a novel decentralized parallel stochastic gradient descent algorithm designed for large data variance \xr{among workers} (imprecisely, ""decentralized"" data). The core of D$^2$ is a variance blackuction extension of the standard D-PSGD algorithm, which improves the convergence rate from $O\left({\sigma \over \sqrt{nT}} + {(n\zeta^2)^{\frac{1}{3}} \over T^{2/3}}\right)$ to $O\left({\sigma \over \sqrt{nT}}\right)$ where $\zeta^{2}$ denotes the variance among data on different workers. As a result, D$^2$ is robust to data variance among workers. We empirically evaluated D$^2$ on image classification tasks where each worker has access to only the data of a limited set of labels, and find that D$^2$ significantly outperforms D-PSGD.",,
