Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID,matched_queries
Nayak S.K.; Komuravelly S.A.; Singireddy B.P.R.; Raikanapata S.P.,3D Medical Image Compression Using Optimal Multi-Linear Singular Value Decomposition,2026,"2026 International Conference on Computing Theory and Wireless Communications, ICCTWC 2026",0,10.1109/ICCTWC68241.2026.11583263,Conference paper,,2-s2.0-105045467923,Q3
Zhang Y.; He F.; Peng L.; Yan T.; Zhang P.; Song T.; Du L.; Chen D.,3D Segment Anything Model With Visual Mamba for Diagnosing Placenta Accreta Spectrum,2026,IEEE Transactions on Image Processing,0,10.1109/TIP.2026.3694185,Article,,2-s2.0-105041389366,Q4
Tan A.H.; Narasimhan S.; Nejat G.,4CNet: A Diffusion Approach to Map Prediction for Decentralized Multirobot Exploration,2026,IEEE Transactions on Robotics,1,10.1109/TRO.2026.3666133,Article,,2-s2.0-105030702489,Q3
Mohanasundaram S.; Amudha K.; Priya V.; Karpagam N.,6G Deep Federated Optimization for Intelligent Data Quantum-Resistant Routing and Monitoring System Using Game Theory,2026,International Journal of Communication Systems,0,10.1002/dac.70326,Article,,2-s2.0-105024074348,Q3
Meenakshi V.; Kumar D.N.S.R.; Dhanalakshmi R.; Sudhakar K.; Mahaveerakannan R.; Dadheech P.,6G Enabled IoT Architecture Using Machine Learning: A Comprehensive Framework for Next Generation Intelligent Networks,2026,"2026 International Conference on NextGen Data Science and Analytics, ICNDSA 2026",0,10.1109/ICNDSA68777.2026.11652089,Conference paper,,2-s2.0-105048481598,Q3
Arman J.H.; Muhammad F.; Abdullah M.; Zulfiqar A.,6G communications: empowering the future with advanced AI and ML techniques,2026,Telecommunication Systems,0,10.1007/s11235-026-01501-4,Article,,2-s2.0-105048688596,Q3
Muthumanickam T.; Jayalakshmi D.; Sathiyamoorthy M.; Kumar S.S.; Loganayagi S.; Agoramoorthy M.,6G-Integrated Federated Learning for Trustworthy and Scalable Edge-IoT Collaboration,2026,"6th International Conference on Inventive Computation and Information Technologies, ICICIT 2026 - Proceedings",0,10.1109/ICICIT69063.2026.11633952,Conference paper,,2-s2.0-105047890455,Q3
Nazar N.; Ramu K.; Priyadharshini J.; Sakthivel S.; Vetrivel B.; Venkatesh S.,6G-Ready Network Slicing for Mission-Critical Transportation and Grid Control Applications,2026,"Proceedings of the 4th IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation, IATMSI 2026",0,10.1109/IATMSI68868.2026.11465625,Conference paper,,2-s2.0-105037012407,Q3
,"7th International Conference on Inventive Research in Computing Applications, ICIRCA 2026 - Proceedings",2026,"7th International Conference on Inventive Research in Computing Applications, ICIRCA 2026 - Proceedings",0,,Conference review,,2-s2.0-105044101954,Q3
Chen Z.; Dong W.; Liu K.; Cheng Q.; Shinohara H.; Sato T.,A 236-nW LFSR-Based Asymmetric Clonable PUF Group With Peer-to-Peer Response Equivalence,2026,IEEE Transactions on Circuits and Systems I: Regular Papers,0,10.1109/TCSI.2026.3705450,Article,All Open Access; Hybrid Gold Open Access,2-s2.0-105044724224,Q3
Cheng N.; Zhao L.; Wang S.; Hu Y.,A 5G-enabled edge–cloud collaborative framework for anomaly detection in industrial compressor PLC data,2026,Array,0,10.1016/j.array.2026.100940,Article,All Open Access; Gold Open Access,2-s2.0-105040148229,Q7
Cuevas N.; Tambe T.; Zhang S.Q.; Brooks D.; Wei G.-Y.,A 64.5 TFLOPS/W 16-nm AI Training Accelerator with 4T-eDRAM for Efficient Gradient and Activation Handling,2026,Proceedings of the Custom Integrated Circuits Conference,0,10.1109/CICC65509.2026.11509573,Conference paper,,2-s2.0-105040924301,Q4
Irawan A.I.; Fukushima Y.,A Batch-Based VNF Deployment Mechanism for Privacy-Preserving Multi-Domain SFC Deployment Using Deep Reinforcement Learning,2026,Future Internet,0,10.3390/fi18060312,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105042937172,Q7
Qin X.; Liu H.; Dong J.; Peng K.,A Batch-Constrained Safe Deep Q-Learning-Based Cloud-Edge Collaborative Framework for Dynamic Operation Optimization in Industrial Processes,2026,IEEE Transactions on Industrial Informatics,6,10.1109/TII.2025.3609186,Article,,2-s2.0-105018198669,Q7
Hu J.; Peng X.; Lv Y.; Zheng S.,A Bi-level Deep Reinforcement Learning Framework for Task Allocation with Tight Constraints in Heterogeneous Multi-Agent Systems,2026,IEEE Transactions on Vehicular Technology,0,10.1109/TVT.2026.3701968,Article,,2-s2.0-105041470972,Q7
Wu Q.; Yang T.; Su Y.; Jiang L.; Tong T.,A Bibliometric Analysis of Deep Reinforcement Learning in UAV Path Planning,2026,"Computers, Materials and Continua",0,10.32604/cmc.2026.082757,Review,All Open Access; Gold Open Access,2-s2.0-105045446302,Q7
Ashwini N.; Malini T.N.,A Bibliometric Analysis of Privacy-Preserving Deep Reinforcement Learning in Social Media Marketing (1966-2025),2026,ICKECS 2026 - Proceedings of 4th IEEE International Conference on Knowledge Engineering and Communication Systems,0,10.1109/ICKECS70176.2026.11527730,Conference paper,,2-s2.0-105041812983,Q3
Li T.,"A Bibliometric Analysis of WoS-Indexed Intelligent Transportation Systems Research: Trends, Hotspots, and Emerging AI-Related Themes (1993–2024)",2026,Journal of Advanced Transportation,0,10.1155/atr/1557242,Review,All Open Access; Gold Open Access,2-s2.0-105049455741,Q3
Gao D.; Zhao H.,A Big Data-Driven Knowledge Framework for Supply Chain Risk Prediction and Performance Optimization in Multinational Corporations,2026,International Journal of Knowledge Management,1,10.4018/IJKM.402393,Article,All Open Access; Gold Open Access,2-s2.0-105031666308,Q3
Wu C.-Y.; Curtis F.E.; Robinson D.P.,A Bilevel Optimization Approach for Computing Synthetic Data to Mitigate Unfairness in Collaborative Machine Learning,2026,INFORMS Journal on Optimization,1,10.1287/ijoo.2025.0091,Article,All Open Access; Gold Open Access,2-s2.0-105048041655,Q3
Zhao P.; Chen L.; Guo S.; Feng L.; Li W.; Yu P.; Han W.,A Bipartite Graph Reinforcement Learning Approach for Digital Twin-Assisted D2D-LEO Collaborative Computing,2026,IEEE Internet of Things Journal,0,10.1109/JIOT.2026.3705727,Article,,2-s2.0-105043465652,Q7
Yasasree P.D.; Akshaya D.; Harshini J.; Venkatasivarambabu P.; Chowdary K.G.; Sumanth P.D.S.,A Block-Chain Enabled Optimized Bi-LSTM Framework for Secure Communication in Industrial IoT System,2026,"Proceedings of the 6th International Conference on Trends in Material Science and Inventive Materials, ICTMIM 2026",0,10.1109/ICTMIM68190.2026.11506742,Conference paper,,2-s2.0-105041368537,Q3
Huang Y.; Tiwari A.; Yen I.-L.; Bastani F.,A Blockchain Aided Resource/Role Hierarchy Based Access Control Framework for Federated Learning,2026,"2026 International Conference on Advances in Artificial Intelligence and Machine Learning, AAIML 2026",0,10.1109/AAIML67890.2026.11498187,Conference paper,,2-s2.0-105040515888,Q7
Kumar A.; Thakur A.K.; Singh A.; Patel A.,A Blockchain-Assisted AI-Based Network Security Framework for Secure Communication in Intelligent Transportation and Vehicular Networks,2026,"Proceedings of the 2026 4th International Conference on Secure Cyber Computing and Communications, ICSCCC 2026",0,10.1109/ICSCCC69031.2026.11600095,Conference paper,,2-s2.0-105046206668,Q3
Al-Khatib O.; Nassreddine G.; Arid A.E.; Elkhouly A.; Nassereddine M.,A Blockchain-Based Framework for Secure Healthcare Data Transfer and Disease Diagnosis Using FHM C-Means and LCK-CMS Neural Network,2026,Sci,1,10.3390/sci8010013,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105028792047,Q3
Wang H.; Li J.; De S.; Yang D.; Xing Q.,A Blockchain-Based Multi-Node Deep Learning Framework for Visual Inference: A Study of Consensus Algorithms in Enhancing Model Transparency and Model Integration,2026,"2026 9th International Conference on Advanced Algorithms and Control Engineering, ICAACE 2026",0,10.1109/ICAACE69793.2026.11508741,Conference paper,,2-s2.0-105041675467,Q3;Q7
Ge S.; Meng H.; Khan S.; Alhayan F.,A Blockchain-Based Smart Contract Framework for Autonomous Sports Training Management in Multi-Agent Environment,2026,Transactions on Emerging Telecommunications Technologies,1,10.1002/ett.70364,Article,,2-s2.0-105029933939,Q3
Halip M.H.M.; Rahayu S.B.; Kamarudin N.D.; Venkatesan K.,A Blockchain-Enabled Federated Learning Framework for Privacy-Preserving Healthcare Data Management,2026,"International Conference for Innovations in Intelligent Computing and Cybersecurity, IICC 2026 - Part of 2026 16th ICEENG International Congress on Electrical Engineering",0,10.1109/IICC69623.2026.11582737,Conference paper,,2-s2.0-105045233106,Q3
Alshudukhi K.S.; Tariq N.,A Blockchain-Enabled Federated Neuro-Symbolic Framework for Secure Wearable Biosensor-Based Health Monitoring,2026,Biosensors,0,10.3390/bios16080442,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105048341565,Q7
Sriramkumar R.; Sable K.P.; Lakshmanan M.; Dhanraj J.A.; Tamilamuthan R.; Hole S.R.,A Blockchain-Integrated Deep Learning Framework for Privacy-Preserving Chest X-Ray Disease Diagnosis: A Comprehensive Survey,2026,"6th International Conference on Inventive Computation and Information Technologies, ICICIT 2026 - Proceedings",0,10.1109/ICICIT69063.2026.11634189,Conference paper,,2-s2.0-105047861062,Q3
Gaspar J.; Pessoa J.; Ribeiro B.; Martinho D.; Santos J.; Marreiros G.,A Blockchain-based Federated Learning Implementation Within a Recommendation System Landscape,2026,Procedia Computer Science,0,10.1016/j.procs.2026.03.021,Conference paper,All Open Access; Gold Open Access,2-s2.0-105041091370,Q3
Gish C.; Villalba-Diez J.; Ordieres-Mere J.,A Brain-Inspired Model for Efficient Graph Learning in Human Cyber Physical Networks,2026,Cognitive Computation,0,10.1007/s12559-026-10574-x,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-105036544090,Q7
de Faria A.J.; Brito J.M.C.; Spadoti D.H.; Borges R.M.,A Broader Survey on 6G Radio Resource Management,2026,Sensors,1,10.3390/s26082497,Review,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105037838655,Q3
Fang C.; Yang F.; Li S.; Fan K.; Guo Y.; Wu Y.,A Byzantine-robust asynchronous federated learning method on Non-IID data,2026,Neurocomputing,0,10.1016/j.neucom.2026.134301,Article,,2-s2.0-105043015007,Q3
Hu Y.; Li H.; Xu Q.; Lin Y.; Shi J.; Shen J.; Xu Y.; Dou X.,A CNN-injected transformer network with lesion reconstruction for multi-view diabetic retinopathy grading,2026,Medical Image Analysis,0,10.1016/j.media.2026.104178,Article,,2-s2.0-105043977039,Q4
Tooki O.O.; Popoola O.M.; Saloro M.A.,A COMPARATIVE SURVEY ON FEDERATED LEARNING AND SELF-LEARNING FOR PRIVACY PRESERVATION OF PARTICIPANTS' DATA IN TRANSACTIVE ENERGY SYSTEMS,2026,Journal of Engineering and Technology for Industrial Applications,0,10.5935/jetia.v12i59.2883,Article,All Open Access; Gold Open Access,2-s2.0-105046247367,Q3
Nahida S.; Imambi S.S.,A COMPREHENSIVE ANALYSIS ON DEEP LEARNING TECHNIQUES FOR ELECTRO ENCEPHALOGRAM SIGNAL ANALYSIS AND APPLICATIONS,2026,Journal of Theoretical and Applied Information Technology,0,10.5281/zenodo.18666600,Article,,2-s2.0-105033660119,Q3
Jayakeerthi M.; Sherin A.,A COMPREHENSIVE ANALYSIS ON TRUST-AWARE FEDERATED LEARNING IN IOT EDGE COMPUTING,2026,International Journal of Computer Information Systems and Industrial Management Applications,0,10.70917/ijcisim-2026-2274,Article,,2-s2.0-105044668084,Q3;Q7
Choudhary H.; Orra A.; Thakur M.; Gao X.-Z.; Sahu P.K.,A CVaR-Constrained Safe Reinforcement Learning Framework with Action Repair for Practical Portfolio Optimization,2026,IEEE Transactions on Artificial Intelligence,1,10.1109/TAI.2026.3686783,Article,,2-s2.0-105037163066,Q3;Q7
Li X.; Wang F.,A Chinese/English mixed text proofreading algorithm for Central Asian universities based on transfer learning,2026,"2026 IEEE International Conference on Power, Electronics and Green Energy, ICPEGE 2026",0,10.1109/ICPEGE67691.2026.11451200,Conference paper,,2-s2.0-105037442018,Q4
Li X.; Wu H.; Fan D.; Bai J.; Wang C.; Liu Y.,A Clip-Based Dairy Cow Behavior Recognition Method Integrating Temporal Modeling and Behavioral Priors,2026,Animals,1,10.3390/ani16132087,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105044640769,Q4
Hamad K.; Al-Najjar A.,A Closed-Track System for Palestinian Arabic in the AMIYA Shared Task,2026,"VarDial 2026 - 13th Workshop on NLP for Similar Languages, Varieties and Dialects, Proceedings of the Workshop",1,10.18653/v1/2026.vardial-1.32,Conference paper,All Open Access; Gold Open Access,2-s2.0-105042231207,Q1
Chen J.; Xie H.; Zou Q.; Su D.; Tian Y.,A Cloud-Edge Collaborative Framework for Real-Time Smart Grid Data Processing and Decision-Making,2026,IET Conference Proceedings,0,10.1049/icp.2025.4588,Conference paper,,2-s2.0-105042514237,Q7
Cao Z.,A Cloud-Edge Collaborative Intelligent Framework for Multimodal Foreign Language Education: Integrating Federated Learning with Knowledge Graph,2026,"Proceedings of 2026 International Conference on Big Data and Informatization Education, ICBDIE 2026",0,10.1145/3806980.3807174,Conference paper,All Open Access; Gold Open Access,2-s2.0-105042137902,Q3
Zhang C.; Lin P.; Rao C.; Li H.; Wang J.; Zhang C.; Hu H.,A Cloud-Edge-End Collaborative Remote Monitoring and Scheduling System for Textile Equipment,2026,Applied Sciences (Switzerland),0,10.3390/app16125773,Article,All Open Access; Gold Open Access,2-s2.0-105042725345,Q7
Kadirvelu G.; Parthipan V.,A Cloud-Enabled Explainable Federated Learning Framework for Intelligent Driver Risk Prediction in Edge-Assisted Transportation System,2026,"2026 International Conference on Data Science for Cyber-Physical Systems Resilience using Advanced Applications, ICDCA 2026",0,10.1109/ICDCA69396.2026.11620268,Conference paper,,2-s2.0-105047558135,Q3
Yogapriya M.; Ashraff F.M.; Priyanka M.,A Clustered Federated Learning Framework with Quantised Updates for Privacy-Preserving Clinical Feature Generation,2026,"2026 International Conference on Data Science, Agents and Artificial Intelligence, ICDSAAI 2026",0,10.1109/ICDSAAI69492.2026.11505201,Conference paper,,2-s2.0-105041282024,Q3
Moshiri P.F.; Zhu X.; Lohan P.; Kantarci B.; Janulewicz E.,A Collaborative Edge Intelligence Framework for SFC Provisioning via Language Models,2026,IEEE Transactions on Network and Service Management,0,10.1109/TNSM.2026.3717489,Article,,2-s2.0-105046085506,Q7
Khalil M.W.; Kazmi S.A.A.; Anwar M.; Rathi M.K.; Ibupoto F.A.; Maheshwari M.K.,A Collaborative Energy Management and Price Prediction Framework for Multi-Microgrid Aggregated Virtual Power Plants,2026,Sustainability (Switzerland),1,10.3390/su18010275,Article,All Open Access; Gold Open Access,2-s2.0-105027471748,Q3
Janga R.; Dave R.; Shah R.; Bhavsar M.,A Collaborative Intelligence Framework: Federated Learning for Privacy-Preserving Crop Disease Detection,2026,"International Conference on Artificial Intelligence, Computer, Data Sciences, and Applications, ACDSA 2026",0,10.1109/ACDSA67686.2026.11468187,Conference paper,,2-s2.0-105037585108,Q3;Q7
Jeong Y.; Kim T.,A Collaborative Learning Schedule for Split-Federated Learning in IoT Environments,2026,IEEE Internet of Things Journal,1,10.1109/JIOT.2025.3638873,Article,All Open Access; Hybrid Gold Open Access,2-s2.0-105023903569,Q7
Su D.; Han J.; Yang C.; Gui W.,A Collaborative Neurodynamic Approach to Sharpness-Aware Minimization for Improving Generalization of Deep Learning,2026,IEEE Transactions on Cybernetics,0,10.1109/TCYB.2026.3710134,Article,,2-s2.0-105045121374,Q7
Yu K.; Hu L.; Zhu T.; Li T.; Liu Y.; Ma Y.; Leach M.; Zhang Q.,A Compact Vision-Guided PLC-CNC Gantry Platform for Automated Laboratory Liquid Handling,2026,"2026 12th International Conference on Electrical Engineering, Control and Robotics, EECR 2026",0,10.1109/EECR69522.2026.11549255,Conference paper,,2-s2.0-105042803084,Q4
Bansal A.; Pandey K.,A Comparative Analysis of AI-ML and Deep Learning Models for Polycystic Ovary Syndrome Prediction,2026,"International Conference on Innovative Practices in Technology and Management, ICIPTM 2026",0,10.1109/ICIPTM69057.2026.11465658,Conference paper,,2-s2.0-105037878383,Q3
Riyadi M.A.Q.; Dewi A.M.,A Comparative Evaluation of Federated Learning Algorithms for Privacy-Preserving Academic Prediction on Heterogeneous Data,2026,Jurnal RESTI,0,10.29207/resti.v10i1.7288,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105032207670,Q3
Umoh E.I.; Bishara H.; Amrita; Jha J.,A Comparative Review of Real-Time Intrusion Detection Systems for Sustainable and Connected Cyber Infrastructures,2026,"2026 International Conference on Sustainable Engineering and Technology Innovations, ICSETI 2026",0,10.1109/ICSETI67678.2026.11636596,Conference paper,,2-s2.0-105047931383,Q3
Alkayat S.H.; Hamad A.H.,A Comparative Study of Centralized and Decentralized Split Federated Learning Approaches in 6G Beamforming Optimization,2026,Journal Europeen des Systemes Automatises,0,10.18280/jesa.590516,Article,All Open Access; Hybrid Gold Open Access,2-s2.0-105042714556,Q3
Chintalacheruvu N.K.; Kumar D.; Prakash A.; Yadav D.,A Comparative Study of Federated Learning Algorithms for Heart Disease Prediction,2026,"Proceedings of the 3rd International Conference on Innovations in Cybersecurity and Data Science, ICICDS 2026",0,10.1109/ICICDS70526.2026.11604819,Conference paper,,2-s2.0-105046092619,Q3
Ibaisi T.A.L.; Kuhn S.; Kazim M.; Kara I.; Altindag T.; Rehman M.U.,A Comparative Study of Federated Learning and Amino Acid Encoding with IoT Malware Detection as a Case Study,2026,Big Data and Cognitive Computing,0,10.3390/bdcc10040111,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105037212956,Q3
Wang Q.; Ibrahim S.; Wang L.; Idrus Z.,A Comparative Study of Federated and Centralised Learning for Waste Classification with Non-IID Data,2026,International Journal of Electrical and Computer Engineering Systems,0,10.32985/ijeces.17.5.3,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105037923660,Q3
Singh J.; Singh H.,A Comparative Study of Intelligent Intrusion Detection Systems in IoT using Deep Learning Approaches,2026,"Proceedings of 7th International Conference on Intelligent Communication Technologies and Virtual Mobile Networks, ICICV 2026",0,10.1109/ICICV68925.2026.11554710,Conference paper,,2-s2.0-105042723417,Q3
Singh J.; Singh H.,A Comparative Study of Intelligent Intrusion Detection Systems in IoT using Traditional Machine Learning Approaches,2026,"Proceedings of 9th International Conference on Trends in Electronics and Informatics, ICOEI 2026",0,10.1109/ICOEI68323.2026.11541902,Conference paper,,2-s2.0-105042358663,Q3
Poornima V.; Sai Nikhil Y.; Veena G.; Thara S.,A Comparative Study of QLoRA Fine-Tuned Large Language Models for Named Entity Recognition,2026,Procedia Computer Science,0,10.1016/j.procs.2026.06.075,Conference paper,All Open Access; Gold Open Access,2-s2.0-105045584461,Q1;Q9
Varun Kumar B.; Rajasekaran M.,A Comparative Study of Quantum-Classical Approaches in Neural Network Architectures for Medical Imaging Applications,2026,"2026 International Conference on Recent Advancement in Electrical, Computer and Communication Technologies, IECCT 2026",0,10.1109/IECCT68664.2026.11541603,Conference paper,,2-s2.0-105042245638,Q3
Saduakas A.; Mukasheva A.; Bisembayev A.; Koishiyeva D.; Kang J.W.,A Comparative Study of Time-Series Models Used in Artificial Intelligence Forecasting Approaches; [인공지능 예측 접근법에 사용되는 시계열 모델 비교 연구],2026,Transactions of the Korean Institute of Electrical Engineers,0,10.5370/KIEE.2026.75.3.658,Article,,2-s2.0-105040376716,Q3
Poolwan J.; Chumuang N.; Narin B.; Chansuek P.,A Comparative Study of Transfer Learning-Based Deep CNN Architectures for Cat-Dog Image Classification,2026,"International Conference on Cybernetics and Innovations, ICCI 2026",0,10.1109/ICCI68752.2026.11506496,Conference paper,,2-s2.0-105041295611,Q10
Dhere A.,A Comparison of Strategies for Automatic Frame Selection Towards Blind Sweep Point of Care Ultrasound,2026,Proceedings - International Symposium on Biomedical Imaging,0,10.1109/ISBI61048.2026.11515612,Conference paper,,2-s2.0-105041600618,Q1
Saini R.; Ashima,"A Comprehensive Analysis of Machine Learning Methods for Identifying, preventing and Mitigating Cybersecurity Threats in Internet of Things Networks",2026,"ICCECE 2026 - International Conference on Computing, Electronics and Communications Engineering",0,10.1109/ICCECE69715.2026.11492828,Conference paper,,2-s2.0-105041027980,Q3
Krithika S.; Mohan G.B.,A Comprehensive Approach for Fine-tuning and Evaluation of Large Language Models on Dialogue Summarization,2026,SN Computer Science,0,10.1007/s42979-026-04852-6,Article,,2-s2.0-105033500400,Q1
