title,year,sources,venue_or_id,abstract
Multi-Task–Driven Adapter-Based Foundation Model for Locomotion Prediction in Virtual Reality,2026,Scopus;WoS,"ACM Transactions on Multimedia Computing, Communications and Applications;ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS","Serving as a fundamental interaction in Virtual Reality, Locomotion technology defines how users navigate and explore the immersive virtual environments with high degree of freedom. Accurate prediction of locomotion not only enhances the sense of presence and ease of movement in virtual environment but also benefits VR applications through context-aware optimization such as pre-rendering and scene streaming. To leverage the superior understanding and causal modeling capabilities of Foundation Models (FMs) in the domain of numerical prediction, we apply FMs to time-series data, enabling more accurate estimation of users’ future spatial coordinates based on historical motion and gaze data. In this article, we introduce LoCoFoMo, an Adapter-based FM architecture specifically designed for future trajectory prediction in VR contexts. We conduct extensive experiments to evaluate the effectiveness of LoCoFoMo and its components. The proposed model demonstrates strong competitiveness when compared with several trajectory prediction and temporal reasoning models, evidenced by a performance gain of over 25% against the best baseline on datasets with interaction paradigms like Touchpad and Arm-Swing, coupled with superior stability in mitigating error accumulation. © 2026 Copyright held by the owner/author(s). Publication rights licensed to ACM."
PM-adapter: MoE based dynamic denoising fine-tuning for thermal infrared object detection,2026,Scopus;WoS,Neurocomputing;NEUROCOMPUTING,"Thermal infrared (TIR) technology has become an indispensable component in the community of image acquisition and processing. While TIR images contain rich thermal information, they lack texture details, rendering conventional object detectors based on visible imagery less effective under low-light conditions. Additionally, noise introduced by sensor limitations and environmental factors further degrades detection performance, increasing false positives and false negatives. To address these challenges, we propose a parameter-efficient dynamic denoising fine-tuning module named PM-Adapter (Perona-Malik diffusion-based Adapter). Specifically, we leverage the Perona-Malik diffusion equation in the form of discrete wavelet transform to denoise TIR features, and the edge enhancement unit to enhance edge details. More crucially, to adaptively handle the complex noise characteristics across TIR images, we introduce the Mixture of Experts mechanism to dynamically allocate the most appropriate denoising expert, further improving detection performance. Comprehensive experiments on the FLIR, LLVIP and M3FD datasets demonstrate that the proposed PM-Adapter consistently outperforms existing methods, validating its effectiveness of the proposed approach. © 2025 Elsevier B.V."
PrivLoRA: Enhancing Privacy in LoRA-Based Fine-Tuning of Large Language Models for Federated Learning,2026,Scopus;WoS,"2026 International Conference on Computing, Networking and Communications, ICNC 2026;2026 INTERNATIONAL CONFERENCE ON COMPUTING, NETWORKING AND COMMUNICATIONS, ICNC","Large Language Models (LLMs) are advanced neural networks pre-trained on massive datasets, enabling them to perform a wide range of natural language processing tasks with exceptional generalization and adaptability. Federated learning (FL) enables fine-tuning of LLMs across distributed clients while preserving data privacy, making it ideal for sensitive domains with diverse datasets. However, full fine-tuning (FFT) of LLMs in FL environments presents significant challenges, including high communication overhead, data privacy concerns, and low performance with heterogeneous client data. This paper introduces Private Low-Rank Adaptation (PrivLoRA), a novel privacy-preserving FL algorithm designed to address these challenges. PrivLoRA combines Low-Rank Adaptation (LoRA), an efficient parameter-efficient fine-tuning (PEFT) technique, with a novel layer-wise fine-tuning strategy and Singular Value Decomposition (SVD)-based initialization to mitigate performance degradation in highly heterogeneous data settings. The proposed framework incorporates advanced privacy mechanisms, including homomorphic encryption (HE) and differential privacy (DP), to ensure robust data protection while maintaining strong model performance. Extensive experiments demonstrate that PrivLoRA achieves superior accuracy and communication efficiency compared to state-of-the-art baselines, particularly in heterogeneous data environments. This research offers a significant advancement for privacy-preserving, communication-efficient LLM fine-tuning in collaborative and sensitive applications. © 2026 IEEE."
Spatiotemporal Context-Aware Prompting With Low-Rank Dynamic Routing for Exemplar-Free Video Class-Incremental Learning,2026,Scopus;WoS,IEEE Transactions on Neural Networks and Learning Systems;IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,"Video class-incremental learning (VCIL) aims to progressively recognize novel action categories while preserving spatial–temporal knowledge of previous tasks. Unlike image class-incremental learning (CIL), VCIL requires simultaneously capturing spatial semantics and temporal dynamics, which makes catastrophic forgetting more significant. Prompt-based learning has recently made remarkable advancements in VCIL. However, they primarily optimize a predefined static prompt for all action sequences in a group-level manner, which overlooks the diverse spatial–temporal characteristics across frames and exhibits limited generalization capability for future action categories. To address the above limitations, we propose a novel exemplar-free VCIL framework termed STCP-low-rank dynamic routing (LRDR) that consists of two crucial innovations, i.e., the spatiotemporal context-aware prompting (SCAP) and LRDR. The former dynamically generates instance-level prompts based on the input video. Specifically, the frame-level prompt is developed to adaptively emphasize fine-grained details in each frame by leveraging the attention-guided spatial activation module. Meanwhile, we also design the cross-frame prompt to capture the differential importance of sequences, allowing the model to focus on key frames and facilitate its ability to explore temporal dependencies. Furthermore, we introduce a parameter-efficient LRDR that achieves dynamic scalability by incorporating mixture-of-experts low-rank spatial–temporal adapters, which can maintain old prompt knowledge and cross-task collaboration as the trainable SCAP also suffers from catastrophic forgetting when learning from incremental tasks. Finally, we propose a novel prompt correction mechanism (PCM) that prevents the proposed SCAP from acquiring ineffective class-wise spatiotemporal representations via the discriminative class-level prompt knowledge. Extensive experiments are conducted on four video benchmarks, and our approach consistently achieved substantial gains over state-of-the-art methods in VCIL. © 2012 IEEE."
pFedLoRA: Model-Heterogeneous Personalized Federated Learning With Homogeneous Low-Rank Adapter Sharing on Mobile Edge Devices,2026,Scopus;WoS,IEEE Transactions on Mobile Computing;IEEE TRANSACTIONS ON MOBILE COMPUTING,"Federated learning (FL) is an emerging machine learning paradigm in which a central server coordinates multiple participants (FL clients) collaboratively to train on decentralized data. In practice, FL often faces data, system, and model heterogeneity, which inspires the field of Model-Heterogeneous Personalized Federated Learning (MHPFL). However, existing MHPFL methods rely on extra public data or ignore the relationship between local private heterogeneous models and shared homogeneous models across clients. This leads to unsatisfactory model performance, computational overheads, and communication costs. To bridge this gap, we propose a novel and efficient model-heterogeneous personalized Federated learning framework (pFedLoRA) based on sharing homogeneous Low-Rank Adapter (LoRA) which is popular for fine-tuning pre-trained models. Specifically, we devise a lightweight homogeneous adapter, rather than apply the typical LoRA, to facilitate each client’s heterogeneous local model training with our proposed iterative training for global-local bidirectional knowledge exchange. The homogeneous small local adapters are aggregated on the FL server to generate a global adapter. We theoretically prove its O(1/T ) non-convex convergence rate. Experiments on 5 datasets demonstrate pFed-LoRA outperforms 9 state-of-the-art baselines in model accuracy with 11.81× computation and 7.41× communication cost saving. © 2002-2012 IEEE."
A Multi-Task Prompt Collaborative Optimization Method Based on LoRA Low-Rank Adapters,2026,Scopus,"2026 6th International Conference on Machine Learning and Intelligent Systems Engineering, MLISE 2026","With the widespread application of large-scale pretrained language models in natural language processing tasks, how to achieve efficient knowledge sharing and differentiated adaptation across multiple tasks while reducing parameter overhead has become an important research issue. Based on existing Transformer pre-trained models, Prompt Tuning, and LoRA low-rank adaptation methods, this paper proposes a multitask prompt collaborative optimization model based on LoRA low-rank adapters. The model freezes the backbone model parameters, introduces task-controllable LoRA adapters in the attention and feed-forward layers, and constructs a shared prompt encoder, task-specific prompt generators, and a cross-task collaborative interaction module. Among them, the shared prompt is used to capture general semantics across tasks, the task-specific prompt is used to model the personalized features of different tasks, and a dynamic routing mechanism adaptively combines low-rank matrices based on task representations. At the same time, through joint Prompt-Adapter optimization, cross-task attention, orthogonal constraints, and consistency loss, negative transfer is suppressed, enhancing the collaborative modeling ability of shared knowledge and task-specific knowledge. Experimental results show that this method outperforms full-parameter fine-tuning, traditional prompt tuning, and independent LoRA fine-tuning on multiple multi-task natural language processing datasets, while significantly reducing the number of trainable parameters.  © 2026 IEEE."
A framework for efficient scientific diagram captioning using mixture-of-experts and low-rank adaptation,2026,WoS,SCIENTIFIC REPORTS,"Generating captions for diagrams is a challenging task because of their complex structures, diverse visual elements, and domain-specific semantic content. Unlike natural images, diagrams require a detailed understanding of the interplay between visual and textual components. Models such as BLIP-2, MiniGPT-4, and LLaVA are well-suited for general multimodal tasks. However, when applied to the specific demands of diagram captioning, they require longer inference times, making them less practical for this specialized domain. To address these challenges, we propose a framework that integrates a Mixture of Experts (MoE) with Low-Rank Adaptation (LoRA), trained on the AI2D-Caption dataset-comprising expert annotated scientific diagrams from biology, astronomy, and engineering-to achieve resource-efficient and high-quality caption generation. The framework operates in two stages. During the pretraining stage, the model aligns visual and textual modalities into a unified multimodal representation. In the fine-tuning stage, this representation is dynamically routed to domain-specific experts fine-tuned with LoRA. The gating network selectively activates relevant experts. Our approach outperforms the zero-shot performance of existing vision-language models, achieving an average BLEU score of 0.42 and an average SPICE score of 0.38, while maintaining an efficient average inference time of 3 seconds. Our contribution lies in proposing a new benchmark for diagram captioning. Our model using fewer parameters is able to outperform competing models."
ACE: Adapter Consolidation across Experts for Parameter-Efficient Fine-Tuning of MoE LLMs,2026,arXiv,arXiv:2609.06072,"Parameter-efficient fine-tuning (PEFT) of mixture-of-experts (MoE) models commonly attaches a separate low-rank adapter to each expert. This expert-wise design fragments adaptation in three ways: capacity is split across narrow low-rank updates, gradient supervision becomes sparse and imbalanced und"
AWMA-MoE: Attention-Guided Watermark Adapter with MoE for Latent Diffusion Models,2026,Scopus,WWW 2026 - Proceedings of the ACM Web Conference 2026,"With the evolving generative models, generated images are closer to reality, raising concerns about information authenticity and malicious misuse. Invisible watermarks offer a practical approach to detecting and tracing them. However, while image watermarking inevitably introduces quality degradation, most existing methods primarily focus on improving watermark robustness. To address this limitation, we propose AWMA-MoE, a framework that enhances the quality of generated images while preserving strong watermark robustness. Specifically, we design an attention-based adapter that adaptively embeds watermarks with spatially varying strengths across image regions. Building upon this, we introduce an MoE architecture that leverages diverse experts to further improve image quality while retaining watermark robustness. Experiments demonstrate that AWMA-MoE can reduce the distortion of generated images and exhibit competitive watermark performance, thus striking an improved balance for watermarking generated image tasks and better linking post-hoc and in-generation methods. © 2026 Owner/Author."
Alternating Aggregation Low-Rank Adaptation Approach for Federated Large Models,2026,WoS,"ADVANCED DATA MINING AND APPLICATIONS, ADMA 2025, PT I","Low-rank adaptation (LoRA) is a parameter-efficient fine-tuning (PEFT) method for pre-trained large language models tailored to specific downstream tasks. Due to its flexibility and computational efficiency, LoRA has become the preferred approach within the PEFT framework. However, when applied to federated learning environments, LoRA often experiences instability. This instability primarily arises from two factors: (1) the direct integration of the traditional federated averaging algorithm with the LoRA adapter, which can cause errors in parameter updates during model aggregation, and (2) the amplification of noise introduced to satisfy differential privacy requirements. To address these challenges, this paper introduces an innovative Alternating Federated Low-Rank Adaptation (AF-LoRA) method. AF-LoRA enhances model training stability by implementing an alternating upload and aggregation mechanism for matrices A and B, while maintaining only 50% of the communication cost of the standard LoRA method. Specifically, in each communication round, only one matrix is uploaded for global aggregation, while the other matrix is locally optimized for the next update. Extensive experimental results demonstrate that, compared to traditional federated LoRA methods, AF-LoRA significantly outperforms in both standard and privacy-preserving federated learning scenarios."
An enhanced low-rank fine-tuning framework for federated large language models,2026,WoS,NEUROCOMPUTING,"Federated Learning (FL) enables collaborative training of Large Language Models (LLMs) across distributed de vices without centralizing private data. However, two critical barriers impede practical deployment. First, non-IID data distributions across clients cause unstable convergence and performance degradation during model aggre gation. Second, the billion-scale parameters of modern LLMs impose prohibitive communication costs, rendering traditional federated averaging infeasible for resource-constrained environments. Existing parameter-efficient methods like Low-Rank Adaptation (LoRA) fail to adequately represent the heterogeneous update patterns that arise from diverse client data distributions. In this paper, we introduce a structured LoRA fine-tuning framework that decomposes parameter updates into three synergistic components. The LoRA branch captures dominant global update directions, the diagonal branch provides per-channel scaling to accommodate cross-client distribu tion shifts, and the sparse branch preserves critical local corrections that LoRA approximation cannot represent. To minimize communication overhead, we also propose two optimization mechanisms. Experimental results demonstrate consistent accuracy gains over state-of-the-art baselines on five diverse benchmarks. Our framework also reduces per-round training time by 60-70 % compared to existing federated fine-tuning methods."
Automated Federated Pipeline for Parameter-Efficient Fine-Tuning of Large Language Models,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,"Recently, there has been a surge in the development of advanced intelligent generative content (AIGC), especially large language models (LLMs). For many downstream tasks, it is necessary to fine-tune LLMs using private data. While federated learning offers a promising privacy-preserving solution to LLM fine-tuning, the substantial size of an LLM, combined with high computational and communication demands, makes it hard to apply to handle downstream tasks. More importantly, private edge servers often possess varying computing and network resources in real-world scenarios, introducing additional complexities to LLM fine-tuning. To tackle these problems, we design and implement an automated federated pipeline, named FedPipe, to fine-tune LLMs on heterogeneous edge servers with minimal training cost and no additional inference latency. FedPipe firstly identifies the weights to be fine-tuned based on their contributions to the LLM training. It then configures a low-rank adapter for each selected weight within the resource constraints of the edge server and aggregates these local adapters from all edge servers to fine-tune the whole LLM. Finally, it appropriately quantizes the parameters of LLM to reduce memory consumption according to the requirements of edge servers. Extensive experiments demonstrate that FedPipe expedites model training and achieves higher accuracy than the state-of-the-art benchmarks."
