paper_key,title,year,excluded_from_matrix,frozen_backbone,adapter_exchange,p2p_topology,discovery,multi_task_fusion,privacy_dp,no_central_coordinator,k_strict,k_with_partial
10.1109/TMC.2025.3586644,Adaptive Parameter-Efficient Federated Fine-Tuning on Heterogeneous Devices,2024,False,✓,✓,×,×,×,×,×,2,2.0
10.1109/FLTA63145.2024.10840125,Aggregating Low Rank Adapters in Federated Fine-Tuning,2024,False,✓,✓,×,×,×,×,×,2,2.0
10.1109/ICPADS63350.2024.00040,FedMCP: Parameter-Efficient Federated Learning with Model-Contrastive Personalization,2024,False,✓,✓,×,×,×,(✓),×,2,2.5
2308.06522,SLoRA: Federated Parameter Efficient Fine-Tuning of Language Models,2023,False,✓,✓,×,×,×,(✓),×,2,2.5
10.1145/3682068,Differentially Private Low-Rank Adaptation of Large Language Model Using Federated Learning,2023,False,✓,✓,(✓),×,×,✓,×,3,3.5
10.18653/v1/2023.findings-acl.632,FedPETuning: When Federated Learning Meets the Parameter-Efficient Tuning Methods of Pre-trained Language Models,2022,False,✓,✓,×,×,×,(✓),×,2,2.5
d96aa291c0c56b9522cd7c901f1acd43818f1db3,FedAdapter: Efficient Federated Learning for Modern NLP,2022,False,✓,✓,×,×,×,(✓),×,2,2.5
10.1109/FLTA67013.2025.11336447,FedLoRASwitch: Efficient Federated Learning via LoRA Expert Hotswapping and Routing,2025,False,✓,✓,×,(✓),✓,(✓),×,3,4.0
10.18653/v1/2025.naacl-long.201,Sparser Mixture-of-Adapters with Cross-Layer Generalization,2025,False,✓,✓,×,×,✓,×,×,3,3.0
2404.15159,MixLoRA: Enhancing Large Language Models Fine-Tuning with LoRA based Mixture of Experts,2024,False,✓,✓,×,×,✓,×,×,3,3.0
2410.18035,MiLoRA: Efficient Mixture of Low-Rank Adaptation for Large Language Models Fine-tuning,2024,False,✓,✓,×,×,✓,×,×,3,3.0
2405.11157,Towards Modular LLMs by Building and Reusing a Library of LoRAs,2024,False,✓,✓,×,×,✓,×,×,3,3.0
2307.13269,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition,2023,False,✓,✓,×,×,✓,×,×,3,3.0
2402.09997,LoraRetriever: Input-Aware LoRA Retrieval and Composition for Mixed Tasks in the Wild,2024,False,✓,✓,×,(✓),✓,×,×,3,3.5
10.18653/v1/2023.findings-acl.75,Client-Customized Adaptation for Parameter-Efficient Federated Learning,2024,False,✓,✓,×,×,✓,(✓),×,3,3.5
2503.12016,A Survey on Federated Fine-tuning of Large Language Models,2025,True,−,−,−,−,−,−,−,0,0.0
10.1145/3637528.3671573,FederatedScope-LLM: A Comprehensive Package for Fine-tuning Large Language Models in Federated Learning,2023,True,−,−,−,−,−,−,−,0,0.0
2305.14314,QLoRA: Efficient Finetuning of Quantized LLMs,2023,False,✓,×,−,×,×,×,−,1,1.0
10.1007/s11704-024-40663-9,A survey on LoRA of large language models,2024,True,−,−,−,−,−,−,−,0,0.0
